"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2015 maart";"Breda";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4590";"    4850";"    6360";"   30450";"       3";"       3";"       4";"      20";"  151350";"  120850";"   30500"
"2015 juni";"Breda";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4470";"    4890";"    6270";"   30610";"       3";"       3";"       4";"      20";"  151250";"  120580";"   30670"
"2015 september";"Breda";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4340";"    4850";"    6220";"   30790";"       3";"       3";"       4";"      20";"  151870";"  121020";"   30850"
"2015 december";"Breda";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4470";"    4950";"    6200";"   30960";"       3";"       3";"       4";"      20";"  151950";"  120930";"   31030"
"2015 maart";"Breda Centrum";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     410";"     530";"     570";"    1840";"       3";"       4";"       4";"      13";"   13830";"   11980";"    1850"
"2015 juni";"Breda Centrum";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     390";"     550";"     550";"    1860";"       3";"       4";"       4";"      14";"   13770";"   11900";"    1860"
"2015 september";"Breda Centrum";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     360";"     550";"     540";"    1880";"       3";"       4";"       4";"      14";"   13870";"   11980";"    1880"
"2015 december";"Breda Centrum";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     380";"     560";"     540";"    1890";"       3";"       4";"       4";"      14";"   13900";"   12000";"    1900"
"2015 maart";"Valkenberg";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      50";"      70";"      70";"     320";"       3";"       3";"       4";"      16";"    2040";"    1720";"     330"
"2015 juni";"Valkenberg";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      50";"      70";"      70";"     320";"       3";"       3";"       3";"      16";"    2010";"    1690";"     320"
"2015 september";"Valkenberg";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      50";"      60";"      70";"     320";"       3";"       3";"       4";"      16";"    1990";"    1670";"     330"
"2015 december";"Valkenberg";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      50";"      60";"      70";"     330";"       2";"       3";"       3";"      16";"    2030";"    1700";"     330"
"2015 maart";"Chassé";"Breda                                   ";"Buurt   ";"BU07580002";"       3";"      80";"      40";"      90";"     630";"       3";"       2";"       3";"      21";"    2940";"    2310";"     630"
"2015 juni";"Chassé";"Breda                                   ";"Buurt   ";"BU07580002";"       3";"      70";"      50";"      80";"     640";"       2";"       2";"       3";"      22";"    2950";"    2300";"     640"
"2015 september";"Chassé";"Breda                                   ";"Buurt   ";"BU07580002";"       3";"      70";"      50";"      80";"     660";"       3";"       2";"       3";"      22";"    2960";"    2300";"     660"
"2015 december";"Chassé";"Breda                                   ";"Buurt   ";"BU07580002";"       3";"      80";"      50";"      80";"     660";"       3";"       2";"       3";"      22";"    2960";"    2300";"     660"
"2015 maart";"Fellenoord";"Breda                                   ";"Buurt   ";"BU07580003";"       3";"      50";"     130";"     100";"     150";"       3";"       9";"       7";"      10";"    1430";"    1290";"     150"
"2015 juni";"Fellenoord";"Breda                                   ";"Buurt   ";"BU07580003";"       3";"      40";"     130";"     100";"     150";"       3";"       9";"       7";"      10";"    1440";"    1290";"     150"
"2015 september";"Fellenoord";"Breda                                   ";"Buurt   ";"BU07580003";"       3";"      50";"     120";"     100";"     150";"       3";"       9";"       7";"      10";"    1440";"    1290";"     150"
"2015 december";"Fellenoord";"Breda                                   ";"Buurt   ";"BU07580003";"       3";"      50";"     120";"     100";"     150";"       3";"       8";"       7";"      11";"    1410";"    1260";"     150"
"2015 maart";"Schorsmolen";"Breda                                   ";"Buurt   ";"BU07580004";"       3";"     120";"     170";"     170";"     450";"       4";"       6";"       5";"      15";"    3120";"    2670";"     450"
"2015 juni";"Schorsmolen";"Breda                                   ";"Buurt   ";"BU07580004";"       3";"     110";"     190";"     170";"     460";"       4";"       6";"       5";"      15";"    3130";"    2670";"     460"
"2015 september";"Schorsmolen";"Breda                                   ";"Buurt   ";"BU07580004";"       3";"     100";"     200";"     170";"     450";"       3";"       6";"       5";"      14";"    3210";"    2760";"     450"
"2015 december";"Schorsmolen";"Breda                                   ";"Buurt   ";"BU07580004";"       3";"     100";"     210";"     170";"     450";"       3";"       6";"       5";"      14";"    3220";"    2760";"     450"
"2015 maart";"Station";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      60";"      80";"      70";"     110";"       3";"       4";"       4";"       6";"    1930";"    1820";"     110"
"2015 juni";"Station";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      60";"      80";"      60";"     110";"       3";"       4";"       3";"       6";"    1900";"    1790";"     110"
"2015 september";"Station";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      60";"      80";"      60";"     110";"       3";"       4";"       3";"       6";"    1930";"    1820";"     110"
"2015 december";"Station";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      60";"      80";"      60";"     110";"       3";"       4";"       3";"       6";"    1940";"    1820";"     110"
"2015 maart";"City";"Breda                                   ";"Buurt   ";"BU07580006";"       3";"      60";"      40";"      70";"     180";"       2";"       2";"       3";"       8";"    2360";"    2180";"     180"
"2015 juni";"City";"Breda                                   ";"Buurt   ";"BU07580006";"       3";"      50";"      40";"      70";"     180";"       2";"       2";"       3";"       8";"    2330";"    2150";"     180"
"2015 september";"City";"Breda                                   ";"Buurt   ";"BU07580006";"       3";"      30";"      40";"      70";"     190";"       1";"       2";"       3";"       8";"    2340";"    2160";"     190"
"2015 december";"City";"Breda                                   ";"Buurt   ";"BU07580006";"       3";"      50";"      40";"      70";"     190";"       2";"       2";"       3";"       8";"    2340";"    2150";"     190"
"2015 maart";"Breda Noord";"Breda                                   ";"Wijk    ";"WK075801  ";"       3";"     690";"    1400";"    1140";"    3880";"       3";"       7";"       6";"      19";"   20390";"   16500";"    3890"
"2015 juni";"Breda Noord";"Breda                                   ";"Wijk    ";"WK075801  ";"       3";"     690";"    1400";"    1110";"    3880";"       3";"       7";"       6";"      19";"   20320";"   16430";"    3890"
"2015 september";"Breda Noord";"Breda                                   ";"Wijk    ";"WK075801  ";"       3";"     690";"    1400";"    1100";"    3870";"       3";"       7";"       5";"      19";"   20380";"   16500";"    3880"
"2015 december";"Breda Noord";"Breda                                   ";"Wijk    ";"WK075801  ";"       3";"     710";"    1440";"    1100";"    3890";"       3";"       7";"       5";"      19";"   20460";"   16560";"    3900"
"2015 maart";"Belcrum";"Breda                                   ";"Buurt   ";"BU07580100";"       3";"      70";"      70";"     110";"     390";"       3";"       2";"       4";"      14";"    2800";"    2410";"     390"
"2015 juni";"Belcrum";"Breda                                   ";"Buurt   ";"BU07580100";"       3";"      70";"      60";"     110";"     390";"       3";"       2";"       4";"      14";"    2800";"    2410";"     390"
"2015 september";"Belcrum";"Breda                                   ";"Buurt   ";"BU07580100";"       3";"      80";"      60";"     110";"     390";"       3";"       2";"       4";"      14";"    2850";"    2460";"     390"
"2015 december";"Belcrum";"Breda                                   ";"Buurt   ";"BU07580100";"       3";"      90";"      60";"     110";"     390";"       3";"       2";"       4";"      14";"    2860";"    2460";"     390"
"2015 maart";"Doornbos-Linie";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"     130";"     250";"     230";"     550";"       3";"       7";"       6";"      15";"    3730";"    3180";"     550"
"2015 juni";"Doornbos-Linie";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"     120";"     260";"     230";"     550";"       3";"       7";"       6";"      15";"    3720";"    3170";"     550"
"2015 september";"Doornbos-Linie";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"     110";"     260";"     220";"     550";"       3";"       7";"       6";"      15";"    3720";"    3170";"     550"
"2015 december";"Doornbos-Linie";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"     120";"     270";"     220";"     560";"       3";"       7";"       6";"      15";"    3750";"    3190";"     560"
"2015 maart";"Biesdonk";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"     140";"     280";"     240";"     960";"       3";"       7";"       6";"      23";"    4180";"    3230";"     960"
"2015 juni";"Biesdonk";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"     150";"     280";"     230";"     970";"       4";"       7";"       6";"      23";"    4150";"    3190";"     970"
"2015 september";"Biesdonk";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"     140";"     290";"     230";"     970";"       4";"       7";"       5";"      23";"    4170";"    3200";"     970"
"2015 december";"Biesdonk";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"     140";"     290";"     220";"     970";"       4";"       7";"       5";"      23";"    4150";"    3180";"     970"
"2015 maart";"Geeren-Zuid";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"     110";"     290";"     180";"     700";"       4";"       9";"       6";"      23";"    3030";"    2320";"     710"
"2015 juni";"Geeren-Zuid";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"     110";"     290";"     180";"     700";"       4";"      10";"       6";"      23";"    3020";"    2310";"     710"
"2015 september";"Geeren-Zuid";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"     100";"     280";"     180";"     700";"       3";"       9";"       6";"      23";"    3030";"    2320";"     710"
"2015 december";"Geeren-Zuid";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"     100";"     300";"     180";"     710";"       3";"      10";"       6";"      24";"    3030";"    2320";"     720"
"2015 maart";"Wisselaar";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"     130";"     260";"     200";"     720";"       4";"       8";"       6";"      21";"    3420";"    2700";"     720"
"2015 juni";"Wisselaar";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"     120";"     260";"     190";"     720";"       4";"       8";"       6";"      21";"    3420";"    2700";"     720"
"2015 september";"Wisselaar";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"     130";"     270";"     190";"     710";"       4";"       8";"       6";"      21";"    3420";"    2710";"     710"
"2015 december";"Wisselaar";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"     130";"     270";"     200";"     710";"       4";"       8";"       6";"      21";"    3440";"    2720";"     710"
"2015 maart";"Krogten";"Breda                                   ";"Buurt   ";"BU07580105";"       3";"       0";"      10";"      10";"      30";"       2";"       4";"       3";"      15";"     180";"     150";"      30"
"2015 juni";"Krogten";"Breda                                   ";"Buurt   ";"BU07580105";"       3";"      10";"      10";"      10";"      30";"       3";"       4";"       3";"      14";"     180";"     160";"      30"
"2015 september";"Krogten";"Breda                                   ";"Buurt   ";"BU07580105";"       3";"      10";"      10";"      10";"      30";"       4";"       3";"       3";"      14";"     180";"     160";"      30"
"2015 december";"Krogten";"Breda                                   ";"Buurt   ";"BU07580105";"       3";"      10";"       0";"      10";"      30";"       6";"       2";"       3";"      14";"     180";"     150";"      30"
"2015 maart";"Geeren-Noord";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      80";"     230";"     150";"     520";"       4";"      10";"       7";"      23";"    2250";"    1740";"     520"
"2015 juni";"Geeren-Noord";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      90";"     220";"     150";"     510";"       4";"      10";"       7";"      23";"    2220";"    1710";"     510"
"2015 september";"Geeren-Noord";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      90";"     220";"     150";"     500";"       4";"      10";"       7";"      23";"    2230";"    1730";"     500"
"2015 december";"Geeren-Noord";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      90";"     240";"     150";"     500";"       4";"      10";"       7";"      22";"    2260";"    1760";"     500"
"2015 maart";"Waterdonken";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      30";"      10";"      20";"      20";"       4";"       2";"       2";"       3";"     800";"     780";"      20"
"2015 juni";"Waterdonken";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      30";"      20";"      20";"      20";"       3";"       2";"       2";"       3";"     810";"     780";"      20"
"2015 september";"Waterdonken";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      30";"      20";"      20";"      30";"       3";"       2";"       2";"       3";"     800";"     770";"      30"
"2015 december";"Waterdonken";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      30";"      10";"      20";"      30";"       3";"       2";"       2";"       4";"     800";"     770";"      30"
"2015 maart";"Breda Oost";"Breda                                   ";"Wijk    ";"WK075802  ";"       3";"     580";"     560";"     720";"    4190";"       3";"       3";"       4";"      21";"   20210";"   16020";"    4200"
"2015 juni";"Breda Oost";"Breda                                   ";"Wijk    ";"WK075802  ";"       3";"     570";"     570";"     720";"    4210";"       3";"       3";"       4";"      21";"   20250";"   16030";"    4220"
