"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2015 september";"Breda Oost";"Breda                                   ";"Wijk    ";"WK075802  ";"       3";"     570";"     580";"     710";"    4230";"       3";"       3";"       4";"      21";"   20350";"   16110";"    4240"
"2015 december";"Breda Oost";"Breda                                   ";"Wijk    ";"WK075802  ";"       3";"     550";"     600";"     710";"    4280";"       3";"       3";"       4";"      21";"   20340";"   16050";"    4290"
"2015 maart";"Brabantpark";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     280";"     380";"     340";"    1570";"       3";"       4";"       4";"      18";"    8660";"    7090";"    1580"
"2015 juni";"Brabantpark";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     260";"     390";"     350";"    1580";"       3";"       5";"       4";"      18";"    8700";"    7110";"    1590"
"2015 september";"Brabantpark";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     260";"     400";"     340";"    1580";"       3";"       5";"       4";"      18";"    8790";"    7210";"    1580"
"2015 december";"Brabantpark";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     240";"     410";"     350";"    1600";"       3";"       5";"       4";"      18";"    8800";"    7190";"    1610"
"2015 maart";"Sportpark";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      60";"       0";"      50";"     620";"       2";"       0";"       2";"      22";"    2820";"    2200";"     620"
"2015 juni";"Sportpark";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      70";"       0";"      50";"     640";"       2";"       0";"       2";"      23";"    2830";"    2190";"     640"
"2015 september";"Sportpark";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      60";"       0";"      50";"     650";"       2";"       0";"       2";"      23";"    2830";"    2190";"     650"
"2015 december";"Sportpark";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      60";"      10";"      50";"     660";"       2";"       0";"       2";"      23";"    2840";"    2180";"     660"
"2015 maart";"Zandberg";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"     110";"      40";"     100";"     560";"       3";"       1";"       2";"      13";"    4250";"    3690";"     560"
"2015 juni";"Zandberg";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"     110";"      40";"     100";"     570";"       3";"       1";"       2";"      13";"    4270";"    3700";"     570"
"2015 september";"Zandberg";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"     130";"      50";"      90";"     580";"       3";"       1";"       2";"      14";"    4270";"    3690";"     580"
"2015 december";"Zandberg";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"     120";"      50";"      90";"     590";"       3";"       1";"       2";"      14";"    4260";"    3670";"     590"
"2015 maart";"Heusdenhout";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"     130";"     130";"     230";"    1400";"       3";"       3";"       5";"      32";"    4370";"    2970";"    1400"
"2015 juni";"Heusdenhout";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"     130";"     130";"     230";"    1390";"       3";"       3";"       5";"      32";"    4350";"    2960";"    1400"
"2015 september";"Heusdenhout";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"     130";"     120";"     220";"    1400";"       3";"       3";"       5";"      32";"    4360";"    2950";"    1400"
"2015 december";"Heusdenhout";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"     130";"     130";"     230";"    1400";"       3";"       3";"       5";"      32";"    4340";"    2940";"    1400"
"2015 maart";"Moleneind-Oost";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       4";"      33";"      60";"      40";"      20"
"2015 juni";"Moleneind-Oost";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       4";"      36";"      60";"      40";"      20"
"2015 september";"Moleneind-Oost";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       4";"      33";"      50";"      40";"      20"
"2015 december";"Moleneind-Oost";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       6";"      35";"      50";"      40";"      20"
"2015 maart";"Hoogeind";"Breda                                   ";"Buurt   ";"BU07580205";"       3";"       0";"       0";"       0";"      10";"       4";"       4";"       2";"      22";"      50";"      40";"      10"
"2015 juni";"Hoogeind";"Breda                                   ";"Buurt   ";"BU07580205";"       3";"       0";"       0";"       0";"      10";"       4";"       4";"       4";"      22";"      50";"      40";"      10"
"2015 september";"Hoogeind";"Breda                                   ";"Buurt   ";"BU07580205";"       3";"       0";"       0";"       0";"      10";"       2";"       4";"       4";"      24";"      50";"      40";"      10"
"2015 december";"Hoogeind";"Breda                                   ";"Buurt   ";"BU07580205";"       3";"       0";"       0";"       0";"      10";"       0";"       4";"       4";"      28";"      50";"      30";"      10"
"2015 maart";"Breda Zuid-Oost";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     390";"     180";"     540";"    4400";"       3";"       1";"       4";"      29";"   15420";"   11020";"    4400"
"2015 juni";"Breda Zuid-Oost";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     390";"     190";"     530";"    4410";"       3";"       1";"       3";"      29";"   15440";"   11020";"    4420"
"2015 september";"Breda Zuid-Oost";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     370";"     180";"     510";"    4420";"       2";"       1";"       3";"      29";"   15460";"   11030";"    4430"
"2015 december";"Breda Zuid-Oost";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     370";"     180";"     520";"    4420";"       2";"       1";"       3";"      29";"   15450";"   11020";"    4430"
"2015 maart";"Blauwe Kei";"Breda                                   ";"Buurt   ";"BU07580300";"       3";"      80";"      40";"     100";"     620";"       2";"       1";"       3";"      20";"    3130";"    2510";"     620"
"2015 juni";"Blauwe Kei";"Breda                                   ";"Buurt   ";"BU07580300";"       3";"      80";"      40";"      90";"     630";"       3";"       1";"       3";"      20";"    3130";"    2500";"     630"
"2015 september";"Blauwe Kei";"Breda                                   ";"Buurt   ";"BU07580300";"       3";"      70";"      40";"      90";"     630";"       2";"       1";"       3";"      20";"    3130";"    2500";"     630"
"2015 december";"Blauwe Kei";"Breda                                   ";"Buurt   ";"BU07580300";"       3";"      80";"      40";"      90";"     640";"       2";"       1";"       3";"      20";"    3160";"    2520";"     640"
"2015 maart";"Ypelaar";"Breda                                   ";"Buurt   ";"BU07580301";"       3";"     130";"      90";"     180";"    1800";"       3";"       2";"       4";"      36";"    4970";"    3160";"    1810"
"2015 juni";"Ypelaar";"Breda                                   ";"Buurt   ";"BU07580301";"       3";"     130";"      90";"     170";"    1800";"       3";"       2";"       4";"      36";"    4960";"    3160";"    1800"
"2015 september";"Ypelaar";"Breda                                   ";"Buurt   ";"BU07580301";"       3";"     120";"     100";"     170";"    1780";"       2";"       2";"       3";"      36";"    4950";"    3160";"    1780"
"2015 december";"Ypelaar";"Breda                                   ";"Buurt   ";"BU07580301";"       3";"     130";"     100";"     170";"    1770";"       3";"       2";"       3";"      36";"    4930";"    3150";"    1780"
"2015 maart";"Overakker";"Breda                                   ";"Buurt   ";"BU07580302";"       1";"      70";"      30";"      60";"     930";"       3";"       1";"       2";"      36";"    2550";"    1620";"     930"
"2015 juni";"Overakker";"Breda                                   ";"Buurt   ";"BU07580302";"       1";"      60";"      30";"      60";"     940";"       2";"       1";"       2";"      37";"    2540";"    1600";"     940"
"2015 september";"Overakker";"Breda                                   ";"Buurt   ";"BU07580302";"       1";"      70";"      20";"      60";"     950";"       3";"       1";"       2";"      37";"    2560";"    1610";"     950"
"2015 december";"Overakker";"Breda                                   ";"Buurt   ";"BU07580302";"       1";"      70";"      20";"      60";"     940";"       3";"       1";"       2";"      37";"    2550";"    1610";"     940"
"2015 maart";"Ginneken";"Breda                                   ";"Buurt   ";"BU07580303";"       3";"     100";"      30";"     110";"     950";"       2";"       1";"       3";"      22";"    4280";"    3330";"     950"
"2015 juni";"Ginneken";"Breda                                   ";"Buurt   ";"BU07580303";"       3";"     110";"      30";"     110";"     950";"       3";"       1";"       3";"      22";"    4320";"    3370";"     950"
"2015 september";"Ginneken";"Breda                                   ";"Buurt   ";"BU07580303";"       3";"     100";"      30";"     110";"     960";"       2";"       1";"       2";"      22";"    4330";"    3370";"     970"
"2015 december";"Ginneken";"Breda                                   ";"Buurt   ";"BU07580303";"       3";"     100";"      20";"     110";"     960";"       2";"       1";"       3";"      22";"    4320";"    3360";"     960"
"2015 maart";"Mastbos";"Breda                                   ";"Buurt   ";"BU07580309";"       1";"      10";"       0";"     100";"     100";"       2";"       0";"      20";"      20";"     500";"     400";"     100"
"2015 juni";"Mastbos";"Breda                                   ";"Buurt   ";"BU07580309";"       1";"      10";"       0";"     100";"     100";"       2";"       0";"      20";"      21";"     490";"     390";"     100"
"2015 september";"Mastbos";"Breda                                   ";"Buurt   ";"BU07580309";"       1";"      10";"       0";"     100";"     100";"       2";"       0";"      20";"      21";"     490";"     380";"     100"
"2015 december";"Mastbos";"Breda                                   ";"Buurt   ";"BU07580309";"       1";"      10";"       0";"     100";"     110";"       1";"       1";"      20";"      21";"     500";"     390";"     110"
"2015 maart";"Breda Zuid";"Breda                                   ";"Wijk    ";"WK075804  ";"       1";"     140";"      60";"     200";"    2030";"       2";"       1";"       3";"      29";"    6920";"    4890";"    2030"
"2015 juni";"Breda Zuid";"Breda                                   ";"Wijk    ";"WK075804  ";"       1";"     150";"      60";"     200";"    2030";"       2";"       1";"       3";"      29";"    6920";"    4890";"    2030"
"2015 september";"Breda Zuid";"Breda                                   ";"Wijk    ";"WK075804  ";"       1";"     150";"      60";"     200";"    2050";"       2";"       1";"       3";"      29";"    6960";"    4910";"    2050"
"2015 december";"Breda Zuid";"Breda                                   ";"Wijk    ";"WK075804  ";"       1";"     150";"      60";"     190";"    2050";"       2";"       1";"       3";"      30";"    6960";"    4910";"    2050"
"2015 maart";"Boeimeer";"Breda                                   ";"Buurt   ";"BU07580400";"       1";"     120";"      50";"     160";"    1100";"       2";"       1";"       3";"      23";"    4800";"    3700";"    1100"
"2015 juni";"Boeimeer";"Breda                                   ";"Buurt   ";"BU07580400";"       1";"     120";"      50";"     160";"    1110";"       3";"       1";"       3";"      23";"    4800";"    3690";"    1110"
"2015 september";"Boeimeer";"Breda                                   ";"Buurt   ";"BU07580400";"       1";"     120";"      50";"     160";"    1110";"       3";"       1";"       3";"      23";"    4820";"    3700";"    1120"
"2015 december";"Boeimeer";"Breda                                   ";"Buurt   ";"BU07580400";"       1";"     130";"      50";"     160";"    1130";"       3";"       1";"       3";"      23";"    4820";"    3690";"    1130"
"2015 maart";"Ruitersbos";"Breda                                   ";"Buurt   ";"BU07580401";"       1";"      30";"      10";"      30";"     920";"       1";"       0";"       2";"      44";"    2120";"    1190";"     930"
"2015 juni";"Ruitersbos";"Breda                                   ";"Buurt   ";"BU07580401";"       1";"      30";"      10";"      40";"     920";"       1";"       0";"       2";"      44";"    2120";"    1190";"     920"
"2015 september";"Ruitersbos";"Breda                                   ";"Buurt   ";"BU07580401";"       1";"      30";"      10";"      40";"     930";"       1";"       0";"       2";"      44";"    2140";"    1210";"     930"
"2015 december";"Ruitersbos";"Breda                                   ";"Buurt   ";"BU07580401";"       1";"      20";"      10";"      30";"     920";"       1";"       0";"       2";"      43";"    2140";"    1220";"     920"
"2015 maart";"Breda West";"Breda                                   ";"Wijk    ";"WK075805  ";"       3";"     820";"    1200";"    1410";"    4590";"       3";"       5";"       5";"      17";"   26410";"   21820";"    4590"
"2015 juni";"Breda West";"Breda                                   ";"Wijk    ";"WK075805  ";"       3";"     800";"    1180";"    1410";"    4630";"       3";"       5";"       5";"      18";"   26360";"   21720";"    4640"
"2015 september";"Breda West";"Breda                                   ";"Wijk    ";"WK075805  ";"       3";"     790";"    1160";"    1400";"    4670";"       3";"       4";"       5";"      18";"   26420";"   21750";"    4670"
"2015 december";"Breda West";"Breda                                   ";"Wijk    ";"WK075805  ";"       3";"     820";"    1160";"    1390";"    4660";"       3";"       4";"       5";"      18";"   26420";"   21750";"    4670"
"2015 maart";"Haagpoort";"Breda                                   ";"Buurt   ";"BU07580500";"       3";"      50";"     140";"     130";"     210";"       3";"       8";"       7";"      11";"    1850";"    1640";"     210"
"2015 juni";"Haagpoort";"Breda                                   ";"Buurt   ";"BU07580500";"       3";"      60";"     150";"     130";"     200";"       3";"       8";"       7";"      11";"    1840";"    1640";"     200"
"2015 september";"Haagpoort";"Breda                                   ";"Buurt   ";"BU07580500";"       3";"      60";"     140";"     130";"     210";"       3";"       8";"       7";"      11";"    1860";"    1650";"     210"
"2015 december";"Haagpoort";"Breda                                   ";"Buurt   ";"BU07580500";"       3";"      60";"     140";"     140";"     210";"       3";"       8";"       7";"      11";"    1840";"    1630";"     210"
"2015 maart";"Heuvel";"Breda                                   ";"Buurt   ";"BU07580501";"       3";"     230";"     490";"     470";"     990";"       3";"       7";"       7";"      14";"    6860";"    5870";"     990"
"2015 juni";"Heuvel";"Breda                                   ";"Buurt   ";"BU07580501";"       3";"     230";"     490";"     460";"    1000";"       3";"       7";"       7";"      15";"    6770";"    5770";"    1000"
"2015 september";"Heuvel";"Breda                                   ";"Buurt   ";"BU07580501";"       3";"     220";"     470";"     460";"    1000";"       3";"       7";"       7";"      15";"    6770";"    5770";"    1000"
