"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"RAI";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03632301";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Oude Pijp";"2019 december";"Amsterdam                               ";"Wijk    ";"WK036324  ";"       1";"     220";"     550";"     440";"    1210";"       2";"       4";"       3";"       9";"   13530";"   12320";"    1220"
"Sarphatiparkbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03632404";"       1";"      80";"     160";"     140";"     410";"       2";"       3";"       3";"       9";"    4630";"    4220";"     410"
"Transvaalbuurt";"2019 december";"Amsterdam                               ";"Wijk    ";"WK036330  ";"       1";"     150";"     640";"     420";"     910";"       2";"       8";"       5";"      11";"    8000";"    7080";"     920"
"Indische Buurt West";"2019 december";"Amsterdam                               ";"Wijk    ";"WK036331  ";"       1";"     200";"     800";"     580";"    1090";"       2";"       7";"       5";"      10";"   10940";"    9840";"    1100"
"Java-eiland";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03633302";"       1";"      50";"      30";"      80";"     380";"       2";"       1";"       3";"      14";"    2670";"    2290";"     380"
"Mercatorpark";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03634103";"       1";"      20";"     110";"      20";"       0";"       1";"       7";"       1";"       0";"    1660";"    1650";"       0"
"Vondelpark West";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03634603";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Museumkwartier";"2019 december";"Amsterdam                               ";"Wijk    ";"WK036347  ";"       1";"     140";"      80";"     170";"    2290";"       1";"       1";"       2";"      21";"   10820";"    8510";"    2310"
"Johannnes Vermeerbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03634700";"       1";"      20";"      10";"      10";"     240";"       1";"       1";"       1";"      19";"    1260";"    1010";"     250"
"P.C. Hooftbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03634701";"       1";"      10";"       0";"      20";"     120";"       1";"       0";"       3";"      18";"     710";"     580";"     130"
"Concertgebouwbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03634702";"       1";"      20";"      10";"      20";"     290";"       1";"       1";"       1";"      19";"    1540";"    1240";"     300"
"Cornelis Schuytbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03634703";"       1";"      20";"      10";"      20";"     410";"       1";"       0";"       1";"      17";"    2380";"    1970";"     410"
"Stadionbuurt";"2019 december";"Amsterdam                               ";"Wijk    ";"WK036348  ";"       1";"     180";"     480";"     520";"    1630";"       2";"       5";"       5";"      16";"   10360";"    8710";"    1650"
"Zorgvlied";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03635404";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      40";"      30";"      10"
"Betondorp";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03635700";"       1";"      50";"     230";"     180";"     730";"       2";"       8";"       6";"      26";"    2810";"    2080";"     730"
"Twiske West";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03636603";"       1";"      30";"      50";"     100";"     300";"       2";"       3";"       5";"      14";"    2060";"    1770";"     300"
"Circus/Kermisbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03636606";"       1";"      20";"      40";"      70";"     140";"       1";"       4";"       6";"      12";"    1160";"    1020";"     140"
"Twiske Oost";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03636701";"       1";"      20";"      20";"      50";"     200";"       2";"       2";"       6";"      21";"     930";"     730";"     200"
"Buikslotermeerplein";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03636909";"       1";"      20";"      30";"      40";"     370";"       2";"       3";"       4";"      40";"     910";"     550";"     370"
"NDSM terrein";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03637105";"       1";"      30";"      10";"      10";"       0";"       2";"       1";"       1";"       0";"    1770";"    1770";"       0"
"Schipluidenbuurt";"2019 december";"Amsterdam                               ";"Buurt   ";"BU03638705";"       1";"      10";"      10";"      10";"      10";"       1";"       0";"       1";"       0";"    1150";"    1150";"      10"
"Bijlmer Oost (E,G,K)";"2019 december";"Amsterdam                               ";"Wijk    ";"WK036394  ";"       1";"     500";"    1940";"    1150";"    3260";"       2";"       8";"       5";"      13";"   24730";"   21440";"    3290"
