"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Breda";"2018 december";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    2960";"    4860";"    6180";"   31540";"       2";"       3";"       4";"      20";"  155050";"  123420";"   31630"
"Breda Centrum";"2018 december";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     270";"     540";"     540";"    1990";"       2";"       4";"       4";"      14";"   14090";"   12090";"    2000"
"Valkenberg";"2018 december";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      30";"      60";"      70";"     350";"       2";"       3";"       3";"      18";"    1890";"    1550";"     350"
"Chassé";"2018 december";"Breda                                   ";"Buurt   ";"BU07580002";"       1";"      50";"      60";"      80";"     690";"       2";"       2";"       3";"      23";"    2980";"    2280";"     700"
"Fellenoord";"2018 december";"Breda                                   ";"Buurt   ";"BU07580003";"       1";"      30";"     120";"     100";"     140";"       2";"       8";"       7";"      10";"    1440";"    1300";"     140"
"Schorsmolen";"2018 december";"Breda                                   ";"Buurt   ";"BU07580004";"       1";"      70";"     190";"     150";"     460";"       2";"       6";"       5";"      14";"    3250";"    2780";"     460"
"Station";"2018 december";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      50";"      80";"      70";"     120";"       2";"       4";"       3";"       6";"    2130";"    2010";"     120"
"City";"2018 december";"Breda                                   ";"Buurt   ";"BU07580006";"       1";"      30";"      40";"      70";"     230";"       1";"       2";"       3";"       9";"    2410";"    2180";"     230"
"Breda Noord";"2018 december";"Breda                                   ";"Wijk    ";"WK075801  ";"       1";"     390";"    1380";"    1110";"    3810";"       2";"       7";"       5";"      18";"   21150";"   17330";"    3820"
"Belcrum";"2018 december";"Breda                                   ";"Buurt   ";"BU07580100";"       1";"      60";"      60";"     110";"     390";"       2";"       2";"       4";"      12";"    3210";"    2820";"     390"
"Doornbos-Linie";"2018 december";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"      80";"     260";"     210";"     540";"       2";"       7";"       5";"      14";"    3800";"    3260";"     540"
"Biesdonk";"2018 december";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"      70";"     300";"     230";"     950";"       2";"       7";"       6";"      23";"    4200";"    3250";"     950"
"Geeren-Zuid";"2018 december";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"      50";"     280";"     180";"     660";"       2";"       9";"       6";"      22";"    3030";"    2370";"     660"
"Wisselaar";"2018 december";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"      70";"     250";"     200";"     710";"       2";"       7";"       6";"      20";"    3520";"    2810";"     710"
"Krogten";"2018 december";"Breda                                   ";"Buurt   ";"BU07580105";"       1";"       0";"      10";"      10";"      30";"       2";"       3";"       4";"      17";"     180";"     150";"      30"
"Geeren-Noord";"2018 december";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      50";"     200";"     160";"     480";"       2";"       9";"       7";"      21";"    2270";"    1780";"     490"
"Waterdonken";"2018 december";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      20";"      20";"      20";"      50";"       2";"       2";"       2";"       6";"     950";"     900";"      50"
"Breda Oost";"2018 december";"Breda                                   ";"Wijk    ";"WK075802  ";"       1";"     380";"     600";"     720";"    4220";"       2";"       3";"       4";"      21";"   20450";"   16200";"    4240"
