"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Nieuw Wolfslaar";"2019 december";"Breda                                   ";"Buurt   ";"BU07580701";"       1";"      30";"       0";"      50";"     390";"       2";"       0";"       3";"      21";"    1900";"    1500";"     390"
"Buitengebied Bavel";"2019 december";"Breda                                   ";"Buurt   ";"BU07580709";"       1";"      10";"      20";"      10";"      80";"       1";"       4";"       2";"      16";"     490";"     410";"      80"
"Ulvenhout";"2019 december";"Breda                                   ";"Wijk    ";"WK075808  ";"       1";"      60";"      30";"     100";"    1300";"       1";"       1";"       3";"      31";"    4170";"    2860";"    1300"
"Ulvenhout";"2019 december";"Breda                                   ";"Buurt   ";"BU07580800";"       1";"      50";"      30";"      90";"    1240";"       1";"       1";"       2";"      32";"    3910";"    2660";"    1250"
"Buitengebied Ulvenhout";"2019 december";"Breda                                   ";"Buurt   ";"BU07580809";"       1";"      10";"       0";"      20";"      50";"       2";"       0";"       6";"      21";"     260";"     200";"      50"
"Prinsenbeek";"2019 december";"Breda                                   ";"Wijk    ";"WK075809  ";"       1";"     120";"      70";"     260";"    2560";"       1";"       1";"       3";"      26";"   10020";"    7450";"    2560"
"Prinsenbeek";"2019 december";"Breda                                   ";"Buurt   ";"BU07580900";"       1";"     120";"      60";"     240";"    2400";"       1";"       1";"       3";"      26";"    9280";"    6880";"    2400"
"Buitengebied Prinsenbeek";"2019 december";"Breda                                   ";"Buurt   ";"BU07580909";"       1";"       0";"       0";"      20";"     170";"       1";"       0";"       2";"      23";"     740";"     570";"     170"
"Teteringen";"2019 december";"Breda                                   ";"Wijk    ";"WK075810  ";"       3";"     100";"      60";"     230";"    1780";"       2";"       1";"       3";"      26";"    6800";"    5020";"    1780"
"Teteringen";"2019 december";"Breda                                   ";"Buurt   ";"BU07581000";"       3";"     100";"      60";"     220";"    1730";"       2";"       1";"       3";"      26";"    6560";"    4830";"    1730"
"Vuchtpolder";"2019 december";"Breda                                   ";"Buurt   ";"BU07581008";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       4";"      17";"      90";"      80";"      20"
"Buitengebied Teteringen";"2019 december";"Breda                                   ";"Buurt   ";"BU07581009";"       1";"       0";"       0";"       0";"      30";"       1";"       0";"       1";"      22";"     150";"     110";"      30"
