"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Breda";"2017 december";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    3450";"    5290";"    6270";"   31300";"       2";"       3";"       4";"      20";"  154290";"  122910";"   31380"
"Breda Centrum";"2017 december";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     310";"     600";"     550";"    1980";"       2";"       4";"       4";"      14";"   14070";"   12090";"    1990"
"Valkenberg";"2017 december";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      40";"      60";"      60";"     330";"       2";"       3";"       3";"      18";"    1860";"    1530";"     330"
"Chassé";"2017 december";"Breda                                   ";"Buurt   ";"BU07580002";"       1";"      80";"      70";"      80";"     700";"       3";"       3";"       3";"      24";"    2980";"    2270";"     700"
"Fellenoord";"2017 december";"Breda                                   ";"Buurt   ";"BU07580003";"       1";"      30";"     130";"     100";"     150";"       2";"       9";"       7";"      10";"    1440";"    1290";"     150"
"Schorsmolen";"2017 december";"Breda                                   ";"Buurt   ";"BU07580004";"       1";"      70";"     220";"     160";"     470";"       2";"       7";"       5";"      14";"    3290";"    2820";"     470"
"Station";"2017 december";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      50";"      90";"      60";"     130";"       2";"       4";"       3";"       6";"    2100";"    1970";"     130"
"City";"2017 december";"Breda                                   ";"Buurt   ";"BU07580006";"       1";"      50";"      40";"      80";"     200";"       2";"       2";"       3";"       8";"    2410";"    2210";"     200"
"Breda Noord";"2017 december";"Breda                                   ";"Wijk    ";"WK075801  ";"       1";"     490";"    1500";"    1130";"    3810";"       2";"       7";"       5";"      18";"   20980";"   17160";"    3820"
"Belcrum";"2017 december";"Breda                                   ";"Buurt   ";"BU07580100";"       1";"      60";"      70";"     110";"     390";"       2";"       2";"       3";"      12";"    3200";"    2810";"     390"
"Doornbos-Linie";"2017 december";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"      80";"     290";"     220";"     550";"       2";"       8";"       6";"      15";"    3750";"    3200";"     550"
"Biesdonk";"2017 december";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"      90";"     320";"     240";"     940";"       2";"       8";"       6";"      23";"    4200";"    3250";"     940"
"Geeren-Zuid";"2017 december";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"      80";"     300";"     190";"     660";"       3";"      10";"       6";"      21";"    3080";"    2420";"     660"
"Wisselaar";"2017 december";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"     100";"     260";"     190";"     720";"       3";"       8";"       6";"      21";"    3490";"    2770";"     720"
"Krogten";"2017 december";"Breda                                   ";"Buurt   ";"BU07580105";"       1";"      10";"      10";"      10";"      30";"       4";"       3";"       5";"      16";"     170";"     140";"      30"
"Geeren-Noord";"2017 december";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      60";"     230";"     160";"     490";"       3";"      10";"       7";"      22";"    2260";"    1760";"     500"
"Waterdonken";"2017 december";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      10";"      20";"      20";"      30";"       1";"       2";"       3";"       4";"     840";"     810";"      30"
"Breda Oost";"2017 december";"Breda                                   ";"Wijk    ";"WK075802  ";"       1";"     410";"     620";"     710";"    4250";"       2";"       3";"       4";"      21";"   20330";"   16060";"    4270"
"Brabantpark";"2017 december";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     190";"     400";"     360";"    1590";"       2";"       5";"       4";"      18";"    8720";"    7120";"    1600"
"Sportpark";"2017 december";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      50";"      10";"      40";"     710";"       2";"       0";"       1";"      24";"    2900";"    2190";"     710"
"Zandberg";"2017 december";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"      80";"      50";"      90";"     580";"       2";"       1";"       2";"      14";"    4230";"    3640";"     580"
"Heusdenhout";"2017 december";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"      90";"     160";"     220";"    1330";"       2";"       4";"       5";"      30";"    4370";"    3030";"    1340"
"Moleneind-Oost";"2017 december";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       2";"       0";"       2";"      32";"      60";"      40";"      20"
"Hoogeind";"2017 december";"Breda                                   ";"Buurt   ";"BU07580205";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      50";"      30";"      20"
"Breda Zuid-Oost";"2017 december";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     310";"     190";"     530";"    4420";"       2";"       1";"       3";"      28";"   15690";"   11260";"    4430"
"Blauwe Kei";"2017 december";"Breda                                   ";"Buurt   ";"BU07580300";"       1";"      70";"      30";"      80";"     630";"       2";"       1";"       2";"      20";"    3200";"    2570";"     630"
"Ypelaar";"2017 december";"Breda                                   ";"Buurt   ";"BU07580301";"       1";"     110";"     120";"     180";"    1740";"       2";"       2";"       4";"      35";"    5000";"    3260";"    1740"
"Overakker";"2017 december";"Breda                                   ";"Buurt   ";"BU07580302";"       1";"      50";"      20";"      80";"     970";"       2";"       1";"       3";"      36";"    2700";"    1720";"     980"
"Ginneken";"2017 december";"Breda                                   ";"Buurt   ";"BU07580303";"       1";"      80";"      20";"      90";"     970";"       2";"       1";"       2";"      23";"    4310";"    3330";"     980"
"Mastbos";"2017 december";"Breda                                   ";"Buurt   ";"BU07580309";"       1";"       0";"       0";"     110";"     100";"       1";"       0";"      22";"      21";"     480";"     380";"     100"
"Breda Zuid";"2017 december";"Breda                                   ";"Wijk    ";"WK075804  ";"       1";"     120";"      60";"     170";"    2040";"       2";"       1";"       2";"      30";"    6920";"    4880";"    2050"
"Boeimeer";"2017 december";"Breda                                   ";"Buurt   ";"BU07580400";"       1";"      90";"      50";"     140";"    1130";"       2";"       1";"       3";"      24";"    4770";"    3640";"    1130"
"Ruitersbos";"2017 december";"Breda                                   ";"Buurt   ";"BU07580401";"       1";"      30";"      10";"      30";"     910";"       1";"       0";"       1";"      42";"    2150";"    1240";"     910"
"Breda West";"2017 december";"Breda                                   ";"Wijk    ";"WK075805  ";"       1";"     670";"    1320";"    1400";"    4770";"       3";"       5";"       5";"      17";"   27390";"   22610";"    4780"
"Haagpoort";"2017 december";"Breda                                   ";"Buurt   ";"BU07580500";"       1";"      50";"     160";"     130";"     220";"       3";"       9";"       7";"      12";"    1830";"    1600";"     220"
"Heuvel";"2017 december";"Breda                                   ";"Buurt   ";"BU07580501";"       1";"     180";"     540";"     460";"    1000";"       3";"       8";"       7";"      15";"    6760";"    5750";"    1010"
"Tuinzigt";"2017 december";"Breda                                   ";"Buurt   ";"BU07580502";"       1";"     170";"     390";"     350";"     800";"       3";"       6";"       5";"      12";"    6700";"    5890";"     810"
"Princenhage";"2017 december";"Breda                                   ";"Buurt   ";"BU07580503";"       1";"     160";"     170";"     300";"    1770";"       2";"       2";"       4";"      25";"    7210";"    5430";"    1770"
