"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Wijk 12 Eexterveenschekanaal";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168012  ";1;0;0;20;50;1;1;8;23;210;160;50
"Eexterveenschekanaal";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801200";1;0;0;20;50;1;1;8;24;200;150;50
"Verspreide huizen Eexterveenschekanaal";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801209";1;;;;;;;;;0;0;0
"Wijk 13 Eexterzandvoort";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168013  ";1;0;0;0;30;1;0;3;24;130;100;30
"Eexterzandvoort";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801300";1;0;0;0;30;1;0;2;26;100;70;30
"Verspreide huizen Eexterzandvoort";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801309";1;;;;;;;;;40;30;10
"Wijk 14 Gasselte";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168014  ";1;0;20;70;560;0;1;4;34;1640;1080;560
"Gasselte";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801400";1;0;10;40;470;0;1;3;35;1340;880;470
"Kostvlies";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801401";1;0;0;0;50;0;0;2;39;120;70;50
"Verspreide huizen Gasselte";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801409";1;0;0;20;50;1;2;11;29;180;130;50
"Wijk 15 Gasselternijveen";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168015  ";1;10;70;100;370;1;4;6;23;1590;1230;370
"Gasselternijveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801500";1;10;70;100;360;1;4;6;23;1550;1190;360
"Gasselterboerveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801501";1;;;;;;;;;40;30;10
"Verspreide huizen Gasselternijveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801509";1;;;;;;;;;0;0;0
"Wijk 16 Gasselternijveenschemond";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168016  ";1;10;10;50;130;1;2;9;23;580;440;130
"Gasselternijveenschemond";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801600";1;10;10;50;120;1;2;9;23;530;410;130
"Gasselterboerveenschemond";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801601";1;;;;;;;;;40;30;10
"Verspr.h. Gasselternijveenschemond";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801609";1;;;;;;;;;10;10;0
"Wijk 17 Gieten";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168017  ";1;30;70;160;1430;1;2;4;33;4300;2870;1430
"Gieten";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801700";1;30;70;150;1380;1;2;4;33;4160;2780;1380
"Verspreide huizen Gieten";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801709";1;0;0;0;50;1;1;1;33;140;90;50
"Wijk 18 Gieterveen";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168018  ";1;10;10;50;220;1;1;5;20;1080;860;220
"Gieterveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801800";1;10;10;20;100;1;2;4;18;570;460;100
"Bonnerveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801801";1;0;0;0;20;0;0;2;23;90;70;20
"Nieuwediep";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801802";1;0;0;10;50;1;0;5;23;240;180;50
"Verspreide huizen Gieterveen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801809";1;0;0;20;40;1;0;8;24;180;140;40
"Wijk 19 Rolde";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168019  ";1;40;50;360;1470;1;1;8;34;4320;2850;1470
"Rolde";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801900";1;40;50;150;1240;1;2;5;38;3250;2010;1250
"Ballo";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801901";1;0;0;10;40;1;0;6;30;150;100;40
"Nijlande";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801902";1;0;0;0;10;0;0;2;29;50;40;10
"Deurze";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801903";1;0;0;0;20;1;0;0;20;80;60;20
"Verspreide huizen Nooitgedacht";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801908";1;10;0;190;120;1;1;29;19;660;540;120
"Verspreide huizen Rolde";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16801909";1;0;0;10;30;1;0;4;22;130;100;30
"Wijk 20 Grolloo";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168020  ";1;0;10;50;240;0;1;4;22;1080;840;250
"Grolloo";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16802000";1;0;10;20;140;1;1;4;26;540;400;140
"Schoonloo";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16802001";1;0;0;10;40;1;3;4;27;160;120;40
"Verspreide huizen Papenvoort";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16802008";1;0;0;10;10;0;0;3;5;170;160;10
"Verspreide huizen Grolloo";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16802009";1;0;0;20;50;0;2;8;24;220;170;50
"Wijk 21 Ekehaar";"2022 september*";"Aa en Hunze                             ";"Wijk    ";"WK168021  ";1;0;0;20;110;0;0;5;23;450;350;110
"Ekehaar";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16802100";1;0;0;20;60;0;0;7;27;240;180;60
"Amen";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16802101";1;0;0;0;10;0;1;1;17;80;70;10
"Verspreide huizen Ekehaar";"2022 september*";"Aa en Hunze                             ";"Buurt   ";"BU16802109";1;0;0;10;30;1;0;4;21;130;100;30
