"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Breda";"2020 december";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    3140";"    4670";"    6280";"   31960";"       2";"       3";"       4";"      21";"  156080";"  124040";"   32040"
"Breda centrum";"2020 december";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     400";"     540";"     580";"    2020";"       3";"       4";"       4";"      14";"   14290";"   12250";"    2030"
"Valkenberg";"2020 december";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      50";"      60";"      70";"     350";"       2";"       3";"       4";"      18";"    1900";"    1550";"     350"
"Chassé";"2020 december";"Breda                                   ";"Buurt   ";"BU07580002";"       1";"      60";"      60";"     100";"     700";"       2";"       2";"       3";"      22";"    3110";"    2410";"     710"
"Fellenoord";"2020 december";"Breda                                   ";"Buurt   ";"BU07580003";"       1";"      50";"     130";"     100";"     150";"       4";"       9";"       7";"      11";"    1410";"    1260";"     150"
"Schorsmolen";"2020 december";"Breda                                   ";"Buurt   ";"BU07580004";"       1";"     100";"     180";"     170";"     460";"       3";"       6";"       5";"      14";"    3290";"    2830";"     460"
"Station";"2020 december";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      80";"      80";"      80";"     130";"       4";"       4";"       4";"       6";"    2080";"    1950";"     130"
"City";"2020 december";"Breda                                   ";"Buurt   ";"BU07580006";"       1";"      60";"      30";"      60";"     240";"       3";"       1";"       3";"      10";"    2500";"    2260";"     240"
"Breda noord";"2020 december";"Breda                                   ";"Wijk    ";"WK075801  ";"       3";"     450";"    1300";"    1160";"    3780";"       2";"       6";"       6";"      18";"   21250";"   17460";"    3790"
"Belcrum";"2020 december";"Breda                                   ";"Buurt   ";"BU07580100";"       1";"      60";"      50";"     100";"     410";"       2";"       2";"       3";"      13";"    3270";"    2860";"     410"
"Doornbos-Linie";"2020 december";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"     110";"     240";"     210";"     540";"       3";"       6";"       6";"      14";"    3830";"    3290";"     540"
"Biesdonk";"2020 december";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"      90";"     270";"     230";"     920";"       2";"       6";"       6";"      22";"    4160";"    3240";"     920"
"Geeren-zuid";"2020 december";"Breda                                   ";"Buurt   ";"BU07580103";"       3";"      60";"     280";"     210";"     650";"       2";"       9";"       7";"      21";"    3100";"    2440";"     660"
"Wisselaar";"2020 december";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"      70";"     240";"     220";"     700";"       2";"       7";"       6";"      20";"    3520";"    2820";"     710"
"Krogten";"2020 december";"Breda                                   ";"Buurt   ";"BU07580105";"       1";"       0";"      10";"       0";"      40";"       2";"       4";"       2";"      21";"     180";"     140";"      40"
"Geeren-noord";"2020 december";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      50";"     200";"     160";"     460";"       2";"       9";"       7";"      20";"    2250";"    1780";"     460"
"Waterdonken";"2020 december";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      20";"      10";"      20";"      60";"       2";"       2";"       3";"       6";"     950";"     890";"      60"
"Breda oost";"2020 december";"Breda                                   ";"Wijk    ";"WK075802  ";"       1";"     410";"     600";"     710";"    4170";"       2";"       3";"       3";"      20";"   20520";"   16350";"    4180"
"Brabantpark";"2020 december";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     200";"     400";"     370";"    1540";"       2";"       4";"       4";"      17";"    8900";"    7350";"    1550"
"Sportpark";"2020 december";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      50";"      10";"      40";"     750";"       2";"       0";"       1";"      26";"    2930";"    2190";"     750"
"Zandberg";"2020 december";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"      90";"      40";"      90";"     610";"       2";"       1";"       2";"      14";"    4230";"    3620";"     610"
"Heusdenhout";"2020 december";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"      70";"     160";"     220";"    1240";"       2";"       4";"       5";"      28";"    4350";"    3110";"    1240"
"Moleneind-oost";"2020 december";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       2";"       0";"       0";"      32";"      60";"      40";"      20"
"Hoogeind";"2020 december";"Breda                                   ";"Buurt   ";"BU07580205";"       1";"       0";"       0";"       0";"      10";"       2";"       2";"       2";"      26";"      50";"      40";"      10"
"Breda zuid-oost";"2020 december";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     260";"     180";"     520";"    4580";"       2";"       1";"       3";"      28";"   16220";"   11630";"    4590"
"Blauwe Kei";"2020 december";"Breda                                   ";"Buurt   ";"BU07580300";"       1";"      50";"      30";"      70";"     660";"       2";"       1";"       2";"      21";"    3140";"    2480";"     660"
"Ypelaar";"2020 december";"Breda                                   ";"Buurt   ";"BU07580301";"       1";"      70";"     110";"     170";"    1810";"       1";"       2";"       3";"      35";"    5210";"    3390";"    1820"
"Overakker";"2020 december";"Breda                                   ";"Buurt   ";"BU07580302";"       1";"      40";"      30";"      70";"     990";"       1";"       1";"       3";"      35";"    2790";"    1800";"     990"
