"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2020 december";"Gasselternijveenschemond";"Aa en Hunze                             ";"      10";"      20";"      50";"     120";"       2";"       3";"       9";"      22";"     540";"     420";"     120"
"2020 december";"Gasselterboerveenschemond";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      30";"      20";"      10"
"2020 december";"Verspr.h. Gasselternijveenschemond";"Aa en Hunze                             ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"2020 december";"Wijk 17 Gieten";"Aa en Hunze                             ";"      60";"      80";"     150";"    1380";"       1";"       2";"       4";"      32";"    4340";"    2960";"    1380"
"2020 december";"Gieten";"Aa en Hunze                             ";"      60";"      80";"     150";"    1330";"       1";"       2";"       4";"      32";"    4190";"    2860";"    1340"
"2020 december";"Verspreide huizen Gieten";"Aa en Hunze                             ";"       0";"       0";"       0";"      40";"       1";"       1";"       1";"      31";"     140";"     100";"      40"
"2020 december";"Wijk 18 Gieterveen";"Aa en Hunze                             ";"      20";"      10";"      40";"     220";"       2";"       1";"       4";"      21";"    1060";"     830";"     220"
"2020 december";"Gieterveen";"Aa en Hunze                             ";"      10";"      10";"      20";"     110";"       2";"       2";"       4";"      20";"     560";"     450";"     110"
"2020 december";"Bonnerveen";"Aa en Hunze                             ";"       0";"       0";"       0";"      10";"       2";"       0";"       1";"      15";"      90";"      80";"      10"
"2020 december";"Nieuwediep";"Aa en Hunze                             ";"      10";"       0";"      10";"      50";"       2";"       0";"       5";"      22";"     230";"     180";"      50"
