"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Breda";"2016 december";"Breda                                   ";"Gemeente";"GM0758    ";"       .";"    4010";"    5170";"    6260";"   31100";"       3";"       3";"       4";"      20";"  152910";"  121750";"   31170"
"Breda Centrum";"2016 december";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     360";"     600";"     550";"    1940";"       3";"       4";"       4";"      14";"   13960";"   12010";"    1940"
"Valkenberg";"2016 december";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      30";"      60";"      70";"     330";"       2";"       3";"       4";"      18";"    1870";"    1540";"     330"
"Chassé";"2016 december";"Breda                                   ";"Buurt   ";"BU07580002";"       1";"      80";"      70";"      80";"     670";"       3";"       3";"       3";"      23";"    2940";"    2270";"     670"
"Fellenoord";"2016 december";"Breda                                   ";"Buurt   ";"BU07580003";"       1";"      40";"     120";"     110";"     150";"       3";"       8";"       7";"      10";"    1430";"    1290";"     150"
"Schorsmolen";"2016 december";"Breda                                   ";"Buurt   ";"BU07580004";"       1";"      90";"     210";"     160";"     480";"       3";"       7";"       5";"      15";"    3230";"    2750";"     480"
"Station";"2016 december";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      70";"      90";"      60";"     120";"       3";"       4";"       3";"       6";"    2040";"    1910";"     120"
"City";"2016 december";"Breda                                   ";"Buurt   ";"BU07580006";"       1";"      50";"      40";"      70";"     190";"       2";"       2";"       3";"       8";"    2450";"    2250";"     190"
"Breda Noord";"2016 december";"Breda                                   ";"Wijk    ";"WK075801  ";"       1";"     590";"    1480";"    1120";"    3850";"       3";"       7";"       5";"      18";"   20910";"   17050";"    3860"
"Belcrum";"2016 december";"Breda                                   ";"Buurt   ";"BU07580100";"       1";"      70";"      60";"     120";"     390";"       2";"       2";"       4";"      12";"    3180";"    2790";"     390"
"Doornbos-Linie";"2016 december";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"      90";"     290";"     220";"     550";"       3";"       8";"       6";"      15";"    3760";"    3210";"     550"
"Biesdonk";"2016 december";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"     120";"     300";"     230";"     950";"       3";"       7";"       6";"      23";"    4170";"    3220";"     950"
"Geeren-Zuid";"2016 december";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"     100";"     300";"     180";"     690";"       3";"      10";"       6";"      22";"    3060";"    2370";"     690"
"Wisselaar";"2016 december";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"     110";"     260";"     190";"     710";"       3";"       8";"       5";"      21";"    3460";"    2750";"     710"
"Krogten";"2016 december";"Breda                                   ";"Buurt   ";"BU07580105";"       1";"      10";"      10";"      10";"      30";"       4";"       5";"       4";"      13";"     190";"     160";"      30"
"Geeren-Noord";"2016 december";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      70";"     240";"     150";"     510";"       3";"      11";"       7";"      23";"    2250";"    1740";"     510"
"Waterdonken";"2016 december";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      30";"      20";"      20";"      30";"       3";"       2";"       3";"       3";"     850";"     820";"      30"
"Breda Oost";"2016 december";"Breda                                   ";"Wijk    ";"WK075802  ";"       1";"     500";"     640";"     710";"    4260";"       3";"       3";"       4";"      21";"   20230";"   15950";"    4280"
"Brabantpark";"2016 december";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     220";"     420";"     350";"    1580";"       3";"       5";"       4";"      18";"    8660";"    7080";"    1590"
"Sportpark";"2016 december";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      60";"      10";"      50";"     710";"       2";"       0";"       2";"      24";"    2900";"    2200";"     710"
"Zandberg";"2016 december";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"     100";"      60";"      90";"     580";"       2";"       1";"       2";"      14";"    4210";"    3630";"     580"
"Heusdenhout";"2016 december";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"     130";"     160";"     220";"    1370";"       3";"       4";"       5";"      31";"    4350";"    2980";"    1370"
"Moleneind-Oost";"2016 december";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       6";"      33";"      50";"      40";"      20"
"Hoogeind";"2016 december";"Breda                                   ";"Buurt   ";"BU07580205";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       2";"      33";"      50";"      30";"      20"
"Breda Zuid-Oost";"2016 december";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     350";"     200";"     520";"    4410";"       2";"       1";"       3";"      28";"   15620";"   11200";"    4420"
