"Overlast";"Perioden";"Wijken en buurten";"Geregistreerde overlast (aantal)"
"Totaal registraties overlast";"2023 april";"Bedrijventerrein Sloterdijk";"      15"
"Totaal registraties overlast";"2023 april";"Sloterdijk II";"       2"
"Totaal registraties overlast";"2023 april";"Sloterdijk III Oost";"       1"
"Totaal registraties overlast";"2023 april";"Sloterdijk III West";"       0"
"Totaal registraties overlast";"2023 april";"De Heining";"       0"
"Totaal registraties overlast";"2023 april";"Teleport";"      11"
"Totaal registraties overlast";"2023 april";"Bretten Oost";"       1"
"Totaal registraties overlast";"2023 april";"Bretten West";"       0"
"Totaal registraties overlast";"2023 april";"Houthavens";"       5"
"Totaal registraties overlast";"2023 april";"Houthavens West";"       5"
"Totaal registraties overlast";"2023 april";"Houthavens Oost";"       0"
"Totaal registraties overlast";"2023 april";"Spaarndammer- en Zeeheldenbuurt";"      37"
"Totaal registraties overlast";"2023 april";"Zeeheldenbuurt";"       2"
"Totaal registraties overlast";"2023 april";"Spaarndammerbuurt Noordoost";"      11"
"Totaal registraties overlast";"2023 april";"Spaarndammerbuurt Zuidoost";"       0"
"Totaal registraties overlast";"2023 april";"Spaarndammerbuurt Zuidwest";"       6"
"Totaal registraties overlast";"2023 april";"Spaarndammerbuurt Midden";"       1"
"Totaal registraties overlast";"2023 april";"Spaarndammerbuurt Noordwest";"       6"
"Totaal registraties overlast";"2023 april";"Westergasfabriek";"       2"
"Totaal registraties overlast";"2023 april";"Overbraker Binnenpolder";"       9"
"Totaal registraties overlast";"2023 april";"Staatsliedenbuurt";"      16"
"Totaal registraties overlast";"2023 april";"De Wittenbuurt Noord";"       1"
"Totaal registraties overlast";"2023 april";"De Wittenbuurt Zuid";"       1"
"Totaal registraties overlast";"2023 april";"Staatsliedenbuurt Noordoost";"       2"
"Totaal registraties overlast";"2023 april";"Fannius Scholtenbuurt";"       5"
"Totaal registraties overlast";"2023 april";"Westerstaatsman";"       3"
"Totaal registraties overlast";"2023 april";"Buyskade e.o.";"       4"
"Totaal registraties overlast";"2023 april";"Centrale Markt";"       3"
"Totaal registraties overlast";"2023 april";"Ecowijk";"       1"
"Totaal registraties overlast";"2023 april";"Markthallen";"       0"
"Totaal registraties overlast";"2023 april";"Bedrijvencentrum Westerkwartier";"       1"
"Totaal registraties overlast";"2023 april";"Marcanti";"       1"
"Totaal registraties overlast";"2023 april";"Frederik Hendrikbuurt";"      15"
"Totaal registraties overlast";"2023 april";"Frederik Hendrikbuurt Noord";"       7"
"Totaal registraties overlast";"2023 april";"Frederik Hendrikbuurt Zuidoost";"       7"
"Totaal registraties overlast";"2023 april";"Frederik Hendrikbuurt Zuidwest";"       1"
"Totaal registraties overlast";"2023 april";"Da Costabuurt";"       7"
"Totaal registraties overlast";"2023 april";"Da Costabuurt Noord";"       7"
"Totaal registraties overlast";"2023 april";"Kinkerbuurt";"       6"
"Totaal registraties overlast";"2023 april";"Bellamybuurt Noord";"       3"
"Totaal registraties overlast";"2023 april";"Bellamybuurt Zuid";"       3"
"Totaal registraties overlast";"2023 april";"Van Lennepbuurt";"      22"
"Totaal registraties overlast";"2023 april";"Da Costabuurt Zuid";"      13"
"Totaal registraties overlast";"2023 april";"Borgerbuurt";"       5"
"Totaal registraties overlast";"2023 april";"Lootsbuurt";"       4"
"Totaal registraties overlast";"2023 april";"Helmersbuurt";"      13"
"Totaal registraties overlast";"2023 april";"Helmersbuurt Oost";"       3"
"Totaal registraties overlast";"2023 april";"WG-terrein";"       8"
"Totaal registraties overlast";"2023 april";"Cremerbuurt Oost";"       2"
"Totaal registraties overlast";"2023 april";"Overtoomse Sluis";"       4"
"Totaal registraties overlast";"2023 april";"Cremerbuurt West";"       3"
"Totaal registraties overlast";"2023 april";"Vondelparkbuurt West";"       1"
"Totaal registraties overlast";"2023 april";"Vondelbuurt";"       6"
"Totaal registraties overlast";"2023 april";"Vondelparkbuurt Oost";"       5"
"Totaal registraties overlast";"2023 april";"Vondelparkbuurt Midden";"       1"
"Totaal registraties overlast";"2023 april";"Zuidas";"       6"
"Totaal registraties overlast";"2023 april";"Zuidas Noord";"       3"
"Totaal registraties overlast";"2023 april";"RAI";"       1"
"Totaal registraties overlast";"2023 april";"VU-kwartier";"       2"
"Totaal registraties overlast";"2023 april";"Zuidas Zuid";"       0"
"Totaal registraties overlast";"2023 april";"Vivaldi";"       0"
"Totaal registraties overlast";"2023 april";"Oude Pijp";"      49"
"Totaal registraties overlast";"2023 april";"Hemonybuurt";"       4"
"Totaal registraties overlast";"2023 april";"Gerard Doubuurt";"      11"
"Totaal registraties overlast";"2023 april";"Frans Halsbuurt";"       7"
"Totaal registraties overlast";"2023 april";"Hercules Seghersbuurt";"      10"
"Totaal registraties overlast";"2023 april";"Sarphatiparkbuurt";"      17"
"Totaal registraties overlast";"2023 april";"Nieuwe Pijp";"      38"
"Totaal registraties overlast";"2023 april";"Willibrordusbuurt";"       8"
"Totaal registraties overlast";"2023 april";"Van der Helstpleinbuurt";"      11"
"Totaal registraties overlast";"2023 april";"Lizzy Ansinghbuurt";"      11"
"Totaal registraties overlast";"2023 april";"Cornelis Troostbuurt";"       8"
"Totaal registraties overlast";"2023 april";"Zuid Pijp";"      31"
"Totaal registraties overlast";"2023 april";"Diamantbuurt";"       6"
"Totaal registraties overlast";"2023 april";"Burgemeester Tellegenbuurt Oost";"      12"
"Totaal registraties overlast";"2023 april";"Burgemeester Tellegenbuurt West";"      13"
"Totaal registraties overlast";"2023 april";"Weesperzijde";"       8"
"Totaal registraties overlast";"2023 april";"Swammerdambuurt";"       1"
"Totaal registraties overlast";"2023 april";"Weesperzijde Midden/Zuid";"       5"
"Totaal registraties overlast";"2023 april";"Parooldriehoek";"       2"
"Totaal registraties overlast";"2023 april";"Oosterparkbuurt";"      43"
"Totaal registraties overlast";"2023 april";"Oosterparkbuurt Noordwest";"       9"
"Totaal registraties overlast";"2023 april";"Oosterpark";"       2"
"Totaal registraties overlast";"2023 april";"Oosterparkbuurt Zuidoost";"      26"
"Totaal registraties overlast";"2023 april";"Oosterparkbuurt Zuidwest";"       6"
"Totaal registraties overlast";"2023 april";"Dapperbuurt";"      29"
"Totaal registraties overlast";"2023 april";"Dapperbuurt Noord";"       8"
"Totaal registraties overlast";"2023 april";"Dapperbuurt Zuid";"       7"
"Totaal registraties overlast";"2023 april";"Oostpoort";"      14"
"Totaal registraties overlast";"2023 april";"Transvaalbuurt";"       7"
"Totaal registraties overlast";"2023 april";"Transvaalbuurt West";"       3"
"Totaal registraties overlast";"2023 april";"Transvaalbuurt Oost";"       4"
"Totaal registraties overlast";"2023 april";"Indische Buurt West";"      18"
"Totaal registraties overlast";"2023 april";"Noordwestkwadrant Indische buurt Noord";"       7"
"Totaal registraties overlast";"2023 april";"Noordwestkwadrant Indische buurt Zuid";"       4"
"Totaal registraties overlast";"2023 april";"Zuidwestkwadrant Indische buurt";"       7"
"Totaal registraties overlast";"2023 april";"Indische Buurt Oost";"      21"
"Totaal registraties overlast";"2023 april";"Noordoostkwadrant Indische buurt";"      11"
"Totaal registraties overlast";"2023 april";"Zuidoostkwadrant Indische buurt";"       9"
"Totaal registraties overlast";"2023 april";"Zeeburgerdijk Oost";"       1"
"Totaal registraties overlast";"2023 april";"Flevopark";"       0"
"Totaal registraties overlast";"2023 april";"Oostelijk Havengebied";"      26"
"Totaal registraties overlast";"2023 april";"Oostelijke Handelskade";"       3"
"Totaal registraties overlast";"2023 april";"Rietlanden";"       7"
"Totaal registraties overlast";"2023 april";"Java-eiland";"       3"
"Totaal registraties overlast";"2023 april";"KNSM-eiland";"       2"
"Totaal registraties overlast";"2023 april";"Sporenburg";"       1"
"Totaal registraties overlast";"2023 april";"Borneo";"       4"
"Totaal registraties overlast";"2023 april";"Entrepot-Noordwest";"       1"
"Totaal registraties overlast";"2023 april";"Architectenbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Bedrijvengebied Veelaan";"       1"
"Totaal registraties overlast";"2023 april";"Bedrijvengebied Cruquiusweg";"       2"
"Totaal registraties overlast";"2023 april";"Bedrijvengebied Zeeburgerkade";"       1"
"Totaal registraties overlast";"2023 april";"Zeeburgereiland/Nieuwe Diep";"       9"
"Totaal registraties overlast";"2023 april";"Zeeburgereiland Noordwest";"       0"
"Totaal registraties overlast";"2023 april";"Zeeburgereiland Zuidoost";"       2"
"Totaal registraties overlast";"2023 april";"Zeeburgereiland Zuidwest";"       0"
"Totaal registraties overlast";"2023 april";"Nieuwe Diep/Diemerpark";"       1"
"Totaal registraties overlast";"2023 april";"RI Oost terrein";"       6"
"Totaal registraties overlast";"2023 april";"Zeeburgereiland Noordoost";"       0"
"Totaal registraties overlast";"2023 april";"IJburg West";"      17"
"Totaal registraties overlast";"2023 april";"Steigereiland Noord";"       0"
"Totaal registraties overlast";"2023 april";"Steigereiland Zuid";"       3"
"Totaal registraties overlast";"2023 april";"Haveneiland Zuidwest/Rieteiland West";"       0"
"Totaal registraties overlast";"2023 april";"Haveneiland Noordwest";"       5"
"Totaal registraties overlast";"2023 april";"Haveneiland Noordoost";"       9"
"Totaal registraties overlast";"2023 april";"Sloterdijk";"       3"
"Totaal registraties overlast";"2023 april";"Woon- en Groengebied Sloterdijk";"       0"
"Totaal registraties overlast";"2023 april";"Bedrijventerrein Sloterdijk I";"       3"
"Totaal registraties overlast";"2023 april";"Landlust";"      28"
"Totaal registraties overlast";"2023 april";"Bedrijventerrein Landlust";"       1"
"Totaal registraties overlast";"2023 april";"Bosleeuw";"      15"
"Totaal registraties overlast";"2023 april";"Landlust Zuid";"       5"
"Totaal registraties overlast";"2023 april";"Erasmusparkbuurt Oost";"       1"
"Totaal registraties overlast";"2023 april";"Gibraltarbuurt";"       4"
"Totaal registraties overlast";"2023 april";"Landlust Noord";"       2"
"Totaal registraties overlast";"2023 april";"Erasmuspark";"       3"
"Totaal registraties overlast";"2023 april";"Erasmusparkbuurt West";"       0"
"Totaal registraties overlast";"2023 april";"Robert Scottbuurt Oost";"       3"
"Totaal registraties overlast";"2023 april";"De Kolenkit";"      23"
"Totaal registraties overlast";"2023 april";"Robert Scottbuurt West";"       4"
"Totaal registraties overlast";"2023 april";"Laan van Spartaan";"      10"
"Totaal registraties overlast";"2023 april";"Kolenkitbuurt Zuid";"       3"
"Totaal registraties overlast";"2023 april";"Kolenkitbuurt Noord";"       6"
"Totaal registraties overlast";"2023 april";"Geuzenbuurt";"      12"
"Totaal registraties overlast";"2023 april";"Geuzenhofbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Trompbuurt";"       6"
"Totaal registraties overlast";"2023 april";"Pieter van der Doesbuurt";"       5"
"Totaal registraties overlast";"2023 april";"Van Galenbuurt";"      18"
"Totaal registraties overlast";"2023 april";"John Franklinbuurt";"       2"
"Totaal registraties overlast";"2023 april";"Jan Maijenbuurt";"       3"
"Totaal registraties overlast";"2023 april";"Orteliusbuurt Noord";"       8"
"Totaal registraties overlast";"2023 april";"Mercatorpark";"       5"
"Totaal registraties overlast";"2023 april";"Hoofdweg e.o.";"      17"
"Totaal registraties overlast";"2023 april";"Balboaplein e.o.";"       6"
"Totaal registraties overlast";"2023 april";"Columbusplein e.o.";"       6"
"Totaal registraties overlast";"2023 april";"Orteliusbuurt Midden";"       0"
"Totaal registraties overlast";"2023 april";"Orteliusbuurt Zuid";"       5"
"Totaal registraties overlast";"2023 april";"Westindische Buurt";"      15"
"Totaal registraties overlast";"2023 april";"Paramariboplein e.o.";"       8"
"Totaal registraties overlast";"2023 april";"Postjeskade e.o.";"       7"
"Totaal registraties overlast";"2023 april";"Hoofddorppleinbuurt";"      12"
"Totaal registraties overlast";"2023 april";"Surinamepleinbuurt";"       0"
"Totaal registraties overlast";"2023 april";"Westlandgrachtbuurt";"       0"
"Totaal registraties overlast";"2023 april";"Aalsmeerwegbuurt West";"       6"
"Totaal registraties overlast";"2023 april";"Aalsmeerwegbuurt Oost";"       3"
"Totaal registraties overlast";"2023 april";"Legmeerpleinbuurt";"       2"
"Totaal registraties overlast";"2023 april";"Bedrijventerrein Schinkel";"       1"
"Totaal registraties overlast";"2023 april";"Schinkelbuurt";"       8"
"Totaal registraties overlast";"2023 april";"Schinkelbuurt Noord";"       3"
"Totaal registraties overlast";"2023 april";"Schinkelbuurt Zuid";"       5"
"Totaal registraties overlast";"2023 april";"Willemspark";"       5"
"Totaal registraties overlast";"2023 april";"Valeriusbuurt Oost";"       0"
"Totaal registraties overlast";"2023 april";"Valeriusbuurt West";"       2"
"Totaal registraties overlast";"2023 april";"Willemsparkbuurt Noord";"       3"
"Totaal registraties overlast";"2023 april";"Vondelpark West";"       0"
"Totaal registraties overlast";"2023 april";"Museumkwartier";"      16"
"Totaal registraties overlast";"2023 april";"Johannnes Vermeerbuurt";"       0"
"Totaal registraties overlast";"2023 april";"P.C. Hooftbuurt";"       4"
"Totaal registraties overlast";"2023 april";"Concertgebouwbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Cornelis Schuytbuurt";"       2"
"Totaal registraties overlast";"2023 april";"Banpleinbuurt";"       0"
"Totaal registraties overlast";"2023 april";"Hondecoeterbuurt";"       2"
"Totaal registraties overlast";"2023 april";"Harmoniehofbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Museumplein";"       2"
"Totaal registraties overlast";"2023 april";"Vondelpark Oost";"       2"
"Totaal registraties overlast";"2023 april";"Duivelseiland";"       2"
"Totaal registraties overlast";"2023 april";"Stadionbuurt";"      20"
"Totaal registraties overlast";"2023 april";"Bertelmanpleinbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Marathonbuurt Oost";"       4"
"Totaal registraties overlast";"2023 april";"Marathonbuurt West";"       0"
"Totaal registraties overlast";"2023 april";"Olympisch Stadion e.o.";"       6"
"Totaal registraties overlast";"2023 april";"IJsbaanpad e.o.";"       1"
"Totaal registraties overlast";"2023 april";"Van Tuyllbuurt";"       8"
"Totaal registraties overlast";"2023 april";"Apollobuurt";"       9"
"Totaal registraties overlast";"2023 april";"Diepenbrockbuurt";"       4"
"Totaal registraties overlast";"2023 april";"Beethovenbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Hiltonbuurt";"       1"
"Totaal registraties overlast";"2023 april";"Minervabuurt Noord";"       1"
"Totaal registraties overlast";"2023 april";"Minervabuurt Midden";"       1"
"Totaal registraties overlast";"2023 april";"Minervabuurt Zuid";"       1"
"Totaal registraties overlast";"2023 april";"IJburg Oost";"       1"
"Totaal registraties overlast";"2023 april";"Strandeiland";"       0"
"Totaal registraties overlast";"2023 april";"Middeneiland Zuidoost";"       0"
"Totaal registraties overlast";"2023 april";"Middeneiland Zuidwest";"       0"
"Totaal registraties overlast";"2023 april";"Buiteneiland";"       0"
"Totaal registraties overlast";"2023 april";"Centrumeiland";"       1"
"Totaal registraties overlast";"2023 april";"IJburg Zuid";"      14"
"Totaal registraties overlast";"2023 april";"Rieteiland Oost";"       1"
"Totaal registraties overlast";"2023 april";"Haveneiland Oost";"      10"
"Totaal registraties overlast";"2023 april";"Haveneiland Noord";"       3"
"Totaal registraties overlast";"2023 april";"Scheldebuurt";"      21"
