"Overlast";"Perioden";"Wijken en buurten";"Geregistreerde overlast (aantal)"
"Overlast door verward persoon";"2023 april";"Drieburg";"       0"
"Overlast door verward persoon";"2023 april";"Omval/Overamstel";"       4"
"Overlast door verward persoon";"2023 april";"Weespertrekvaart";"       0"
"Overlast door verward persoon";"2023 april";"Amstelglorie";"       0"
"Overlast door verward persoon";"2023 april";"Overamstel";"       2"
"Overlast door verward persoon";"2023 april";"Amstelkwartier Noord";"       0"
"Overlast door verward persoon";"2023 april";"De Omval";"       0"
"Overlast door verward persoon";"2023 april";"Amstelkwartier Zuid";"       1"
"Overlast door verward persoon";"2023 april";"Amstelkwartier West";"       1"
"Overlast door verward persoon";"2023 april";"Prinses Irenebuurt e.o.";"       0"
"Overlast door verward persoon";"2023 april";"Prinses Irenebuurt";"       0"
"Overlast door verward persoon";"2023 april";"Beatrixpark";"       0"
"Overlast door verward persoon";"2023 april";"Volewijck";"       9"
"Overlast door verward persoon";"2023 april";"Van der Pekbuurt";"       7"
"Overlast door verward persoon";"2023 april";"Bloemenbuurt Zuid";"       1"
"Overlast door verward persoon";"2023 april";"Bloemenbuurt Noord";"       1"
"Overlast door verward persoon";"2023 april";"IJplein/Vogelbuurt";"       3"
"Overlast door verward persoon";"2023 april";"IJplein e.o.";"       1"
"Overlast door verward persoon";"2023 april";"Vogelbuurt Zuid";"       1"
"Overlast door verward persoon";"2023 april";"Vogelbuurt Noord";"       0"
"Overlast door verward persoon";"2023 april";"Vliegenbos";"       1"
"Overlast door verward persoon";"2023 april";"Tuindorp Nieuwendam";"       0"
"Overlast door verward persoon";"2023 april";"Tuindorp Nieuwendam West";"       0"
"Overlast door verward persoon";"2023 april";"Tuindorp Nieuwendam Oost";"       0"
"Overlast door verward persoon";"2023 april";"Tuindorp Buiksloot";"       1"
"Overlast door verward persoon";"2023 april";"Blauwe Zand";"       1"
"Overlast door verward persoon";"2023 april";"Nieuwendammerdijk/Buiksloterdijk";"       0"
"Overlast door verward persoon";"2023 april";"Buiksloterdijk West";"       0"
"Overlast door verward persoon";"2023 april";"Buiksloterdijk Oost";"       0"
"Overlast door verward persoon";"2023 april";"Nieuwendammerdijk West";"       0"
"Overlast door verward persoon";"2023 april";"Nieuwendammerdijk Oost";"       0"
"Overlast door verward persoon";"2023 april";"Nieuwendammerdijk Zuid";"       0"
"Overlast door verward persoon";"2023 april";"Tuindorp Oostzaan";"       3"
"Overlast door verward persoon";"2023 april";"Tuindorp Oostzaan West";"       0"
"Overlast door verward persoon";"2023 april";"Tuindorp Oostzaan Oost";"       0"
"Overlast door verward persoon";"2023 april";"Terrasdorp";"       3"
"Overlast door verward persoon";"2023 april";"De Bongerd";"       0"
"Overlast door verward persoon";"2023 april";"Oostzanerwerf";"       2"
"Overlast door verward persoon";"2023 april";"Oostzanerdijk";"       0"
"Overlast door verward persoon";"2023 april";"Walvisbuurt";"       0"
"Overlast door verward persoon";"2023 april";"Twiske West";"       0"
"Overlast door verward persoon";"2023 april";"Noorder IJplas";"       0"
"Overlast door verward persoon";"2023 april";"Molenwijk";"       1"
"Overlast door verward persoon";"2023 april";"Circus/Kermisbuurt";"       1"
"Overlast door verward persoon";"2023 april";"Kadoelen";"       4"
"Overlast door verward persoon";"2023 april";"Kadoelen";"       0"
"Overlast door verward persoon";"2023 april";"Twiske Oost";"       4"
"Overlast door verward persoon";"2023 april";"Waterlandpleinbuurt";"       7"
"Overlast door verward persoon";"2023 april";"Baanakkerspark Noord";"       0"
"Overlast door verward persoon";"2023 april";"Baanakkerspark Zuid";"       0"
"Overlast door verward persoon";"2023 april";"Werengouw Midden";"       6"
"Overlast door verward persoon";"2023 april";"Markengouw Midden";"       1"
"Overlast door verward persoon";"2023 april";"Markengouw Zuid";"       0"
"Overlast door verward persoon";"2023 april";"Werengouw Zuid";"       0"
"Overlast door verward persoon";"2023 april";"Buikslotermeer";"      17"
"Overlast door verward persoon";"2023 april";"Rode Kruisbuurt";"       5"
"Overlast door verward persoon";"2023 april";"Loenermark";"       3"
"Overlast door verward persoon";"2023 april";"Buikslotermeerplein";"       3"
"Overlast door verward persoon";"2023 april";"Plan van Gool";"       2"
"Overlast door verward persoon";"2023 april";"De Kleine Wereld";"       1"
"Overlast door verward persoon";"2023 april";"Buikslotermeer Noord";"       3"
"Overlast door verward persoon";"2023 april";"Banne Buiksloot";"      10"
"Overlast door verward persoon";"2023 april";"Banne Zuidwest";"       2"
"Overlast door verward persoon";"2023 april";"Banne Zuidoost";"       1"
"Overlast door verward persoon";"2023 april";"Banne Noordwest";"       1"
"Overlast door verward persoon";"2023 april";"Banne Noordoost";"       6"
"Overlast door verward persoon";"2023 april";"Buiksloterbreek";"       0"
"Overlast door verward persoon";"2023 april";"Marjoleinterrein";"       0"
"Overlast door verward persoon";"2023 april";"Noordelijke IJ-oevers West";"       5"
"Overlast door verward persoon";"2023 april";"Papaverweg e.o.";"       1"
"Overlast door verward persoon";"2023 april";"Cornelis Douwesterrein";"       0"
"Overlast door verward persoon";"2023 april";"NDSM terrein";"       2"
"Overlast door verward persoon";"2023 april";"Buiksloterham";"       1"
"Overlast door verward persoon";"2023 april";"Overhoeks";"       1"
"Overlast door verward persoon";"2023 april";"Noordelijke IJ-oevers Oost";"       2"
"Overlast door verward persoon";"2023 april";"Bedrijventerrein Hamerstraat";"       2"
"Overlast door verward persoon";"2023 april";"Zamenhofstraat e.o.";"       0"
"Overlast door verward persoon";"2023 april";"Bedrijventerrein Nieuwendammerdijk";"       0"
"Overlast door verward persoon";"2023 april";"Waterland";"       1"
"Overlast door verward persoon";"2023 april";"Schellingwoude West";"       0"
"Overlast door verward persoon";"2023 april";"Schellingwoude Oost";"       0"
"Overlast door verward persoon";"2023 april";"Schellingwoude Noord";"       0"
"Overlast door verward persoon";"2023 april";"Durgerdam";"       0"
"Overlast door verward persoon";"2023 april";"Zwarte Gouw";"       0"
"Overlast door verward persoon";"2023 april";"Ransdorp";"       0"
"Overlast door verward persoon";"2023 april";"Holysloot";"       0"
"Overlast door verward persoon";"2023 april";"Zunderdorp";"       0"
"Overlast door verward persoon";"2023 april";"Noorderstrook West";"       1"
"Overlast door verward persoon";"2023 april";"Noorderstrook Oost";"       0"
"Overlast door verward persoon";"2023 april";"Elzenhagen";"       2"
"Overlast door verward persoon";"2023 april";"Nintemanterrein";"       0"
"Overlast door verward persoon";"2023 april";"Elzenhagen Zuid";"       1"
"Overlast door verward persoon";"2023 april";"Elzenhagen Noord";"       1"
"Overlast door verward persoon";"2023 april";"Chassébuurt";"       2"
"Overlast door verward persoon";"2023 april";"Kortenaerkwartier";"       1"
"Overlast door verward persoon";"2023 april";"Filips van Almondekwartier";"       0"
"Overlast door verward persoon";"2023 april";"De Wester Quartier";"       1"
"Overlast door verward persoon";"2023 april";"Van Brakelkwartier";"       0"
"Overlast door verward persoon";"2023 april";"Slotermeer-Noordoost";"       4"
"Overlast door verward persoon";"2023 april";"Buurt 3";"       2"
"Overlast door verward persoon";"2023 april";"Buurt 2";"       2"
"Overlast door verward persoon";"2023 april";"Slotermeer-Zuidwest";"       4"
"Overlast door verward persoon";"2023 april";"Slotermeer Zuid";"       0"
"Overlast door verward persoon";"2023 april";"Noordoever Sloterplas";"       1"
"Overlast door verward persoon";"2023 april";"Buurt 4 Oost";"       1"
"Overlast door verward persoon";"2023 april";"Buurt 5 Noord";"       1"
"Overlast door verward persoon";"2023 april";"Sloterpark";"       0"
"Overlast door verward persoon";"2023 april";"Buurt 5 Zuid";"       1"
"Overlast door verward persoon";"2023 april";"Geuzenveld";"       7"
"Overlast door verward persoon";"2023 april";"Buurt 6";"       1"
"Overlast door verward persoon";"2023 april";"Buurt 7";"       0"
"Overlast door verward persoon";"2023 april";"Buurt 8";"       5"
"Overlast door verward persoon";"2023 april";"Buurt 9";"       0"
"Overlast door verward persoon";"2023 april";"Eendrachtspark";"       1"
"Overlast door verward persoon";"2023 april";"Eendracht";"       1"
"Overlast door verward persoon";"2023 april";"Osdorper Binnenpolder";"       0"
"Overlast door verward persoon";"2023 april";"Buurt 10";"       1"
"Overlast door verward persoon";"2023 april";"Lutkemeer/Ookmeer";"       2"
"Overlast door verward persoon";"2023 april";"Ookmeer";"       1"
"Overlast door verward persoon";"2023 april";"Osdorper Bovenpolder";"       0"
"Overlast door verward persoon";"2023 april";"Bedrijvenpark Lutkemeer";"       1"
"Overlast door verward persoon";"2023 april";"Osdorp-Oost";"      25"
"Overlast door verward persoon";"2023 april";"Wildeman";"      14"
"Overlast door verward persoon";"2023 april";"Meer en Oever";"       1"
"Overlast door verward persoon";"2023 april";"Osdorpplein e.o.";"       5"
"Overlast door verward persoon";"2023 april";"Calandlaan/Lelylaan";"       3"
"Overlast door verward persoon";"2023 april";"Osdorp Zuidoost";"       2"
"Overlast door verward persoon";"2023 april";"Osdorp-Midden";"      14"
"Overlast door verward persoon";"2023 april";"Osdorp Midden Noord";"       3"
"Overlast door verward persoon";"2023 april";"Osdorp Midden Zuid";"       3"
"Overlast door verward persoon";"2023 april";"Zuidwestkwadrant Osdorp Noord";"       5"
"Overlast door verward persoon";"2023 april";"Zuidwestkwadrant Osdorp Zuid";"       3"
"Overlast door verward persoon";"2023 april";"De Punt";"       8"
"Overlast door verward persoon";"2023 april";"De Punt";"       4"
"Overlast door verward persoon";"2023 april";"Bedrijvencentrum Osdorp";"       4"
"Overlast door verward persoon";"2023 april";"Middelveldsche Akerpolder";"       4"
"Overlast door verward persoon";"2023 april";"Middelveldsche Akerpolder";"       2"
"Overlast door verward persoon";"2023 april";"De Aker West";"       1"
"Overlast door verward persoon";"2023 april";"De Aker Oost";"       1"
"Overlast door verward persoon";"2023 april";"Slotervaart Noord";"       5"
"Overlast door verward persoon";"2023 april";"Oostoever Sloterplas";"       0"
"Overlast door verward persoon";"2023 april";"Emanuel van Meterenbuurt";"       2"
"Overlast door verward persoon";"2023 april";"Jacob Geelbuurt";"       3"
"Overlast door verward persoon";"2023 april";"Overtoomse Veld";"       7"
"Overlast door verward persoon";"2023 april";"Overtoomse Veld Noord";"       2"
"Overlast door verward persoon";"2023 april";"Overtoomse Veld Zuid";"       4"
"Overlast door verward persoon";"2023 april";"Rembrandtpark Noord";"       0"
"Overlast door verward persoon";"2023 april";"Rembrandtpark Zuid";"       0"
"Overlast door verward persoon";"2023 april";"Johan Jongkindbuurt";"       0"
"Overlast door verward persoon";"2023 april";"Lucas/Andreasziekenhuis e.o.";"       1"
"Overlast door verward persoon";"2023 april";"Westlandgracht";"      15"
"Overlast door verward persoon";"2023 april";"Koningin Wilhelminaplein";"       1"
"Overlast door verward persoon";"2023 april";"Andreasterrein";"       0"
"Overlast door verward persoon";"2023 april";"Delflandpleinbuurt Oost";"       8"
"Overlast door verward persoon";"2023 april";"Delflandpleinbuurt West";"       4"
"Overlast door verward persoon";"2023 april";"Riekerhaven";"       1"
"Overlast door verward persoon";"2023 april";"Schipluidenbuurt";"       1"
"Overlast door verward persoon";"2023 april";"Sloter-/Riekerpolder";"       3"
"Overlast door verward persoon";"2023 april";"Riekerpolder";"       0"
"Overlast door verward persoon";"2023 april";"Park Haagseweg";"       0"
"Overlast door verward persoon";"2023 april";"Nieuwe Meer";"       0"
"Overlast door verward persoon";"2023 april";"Sloterweg e.o.";"       0"
"Overlast door verward persoon";"2023 april";"Nieuw Sloten Noordwest";"       3"
"Overlast door verward persoon";"2023 april";"Nieuw Sloten Noordoost";"       0"
"Overlast door verward persoon";"2023 april";"Belgiëplein e.o.";"       0"
"Overlast door verward persoon";"2023 april";"Nieuw Sloten Zuidwest";"       0"
"Overlast door verward persoon";"2023 april";"Nieuw Sloten Zuidoost";"       0"
"Overlast door verward persoon";"2023 april";"Dorp Sloten";"       0"
"Overlast door verward persoon";"2023 april";"Slotervaart Zuid";"       8"
"Overlast door verward persoon";"2023 april";"Louis Chrispijnbuurt";"       5"
"Overlast door verward persoon";"2023 april";"Jacques Veltmanbuurt";"       2"
"Overlast door verward persoon";"2023 april";"Staalmanbuurt";"       1"
"Overlast door verward persoon";"2023 april";"Medisch Centrum Slotervaart";"       0"
"Overlast door verward persoon";"2023 april";"Buitenveldert-West";"      14"
"Overlast door verward persoon";"2023 april";"Gelderlandpleinbuurt";"       7"
"Overlast door verward persoon";"2023 april";"Buitenveldert Midden Zuid";"       6"
"Overlast door verward persoon";"2023 april";"Buitenveldert Zuidwest";"       1"
"Overlast door verward persoon";"2023 april";"Amsterdamse Bos";"       0"
"Overlast door verward persoon";"2023 april";"Buitenveldert West Midden";"       0"
"Overlast door verward persoon";"2023 april";"Zuiderhof";"       0"
"Overlast door verward persoon";"2023 april";"Buitenveldert-Oost";"       8"
"Overlast door verward persoon";"2023 april";"De Klenckebuurt";"       1"
"Overlast door verward persoon";"2023 april";"Buitenveldert Oost Midden";"       7"
"Overlast door verward persoon";"2023 april";"Buitenveldert Zuidoost";"       0"
"Overlast door verward persoon";"2023 april";"Amstelpark";"       0"
"Overlast door verward persoon";"2023 april";"Amstel III/Bullewijk";"       9"
"Overlast door verward persoon";"2023 april";"Hoofdcentrum Zuidoost";"       2"
"Overlast door verward persoon";"2023 april";"Amstel III deel A/B Noord";"       1"
"Overlast door verward persoon";"2023 april";"Amstel III deel C/D Noord";"       0"
"Overlast door verward persoon";"2023 april";"Amstel III deel A/B Zuid";"       2"
"Overlast door verward persoon";"2023 april";"Amstel III deel C/D Zuid";"       0"
"Overlast door verward persoon";"2023 april";"AMC";"       4"
"Overlast door verward persoon";"2023 april";"Hoge Dijk";"       0"
"Overlast door verward persoon";"2023 april";"Bijlmer Centrum (D,F,H)";"      21"
"Overlast door verward persoon";"2023 april";"Venserpolder West";"       2"
"Overlast door verward persoon";"2023 april";"Venserpolder Oost";"       1"
"Overlast door verward persoon";"2023 april";"D-buurt";"       0"
"Overlast door verward persoon";"2023 april";"F-buurt";"       0"
"Overlast door verward persoon";"2023 april";"Amsterdamse Poort";"      14"
"Overlast door verward persoon";"2023 april";"Hoptille";"       3"
"Overlast door verward persoon";"2023 april";"Rechte H-buurt";"       1"
"Overlast door verward persoon";"2023 april";"Hakfort/Huigenbos";"       0"
"Overlast door verward persoon";"2023 april";"Huntum";"       0"
"Overlast door verward persoon";"2023 april";"Vogeltjeswei";"       0"
"Overlast door verward persoon";"2023 april";"Nelson Mandelapark";"       0"
"Overlast door verward persoon";"2023 april";"Bijlmer Oost (E,G,K)";"      34"
"Overlast door verward persoon";"2023 april";"E-buurt";"       4"
"Overlast door verward persoon";"2023 april";"G-buurt West";"       1"
"Overlast door verward persoon";"2023 april";"Bijlmermuseum Noord";"       3"
"Overlast door verward persoon";"2023 april";"Kortvoort";"       1"
"Overlast door verward persoon";"2023 april";"Kelbergen";"       2"
"Overlast door verward persoon";"2023 april";"K-buurt Midden";"       0"
"Overlast door verward persoon";"2023 april";"K-buurt Zuidoost";"       1"
"Overlast door verward persoon";"2023 april";"K-buurt Zuidwest";"       1"
"Overlast door verward persoon";"2023 april";"Grunder/Koningshoef";"       0"
"Overlast door verward persoon";"2023 april";"G-buurt Oost";"      11"
"Overlast door verward persoon";"2023 april";"Kantershof";"       2"
"Overlast door verward persoon";"2023 april";"Gooise Kant";"       1"
"Overlast door verward persoon";"2023 april";"G-buurt Noord";"       3"
"Overlast door verward persoon";"2023 april";"Bijlmermuseum Zuid";"       4"
"Overlast door verward persoon";"2023 april";"Nellestein";"       4"
"Overlast door verward persoon";"2023 april";"L-buurt";"       3"
"Overlast door verward persoon";"2023 april";"Gaasperpark";"       0"
"Overlast door verward persoon";"2023 april";"Gaasperplas";"       1"
"Overlast door verward persoon";"2023 april";"Holendrecht/Reigersbos";"      16"
"Overlast door verward persoon";"2023 april";"Holendrecht West";"       2"
"Overlast door verward persoon";"2023 april";"Reigersbos Noord";"       1"
"Overlast door verward persoon";"2023 april";"Holendrecht Oost";"       1"
"Overlast door verward persoon";"2023 april";"Gaasperdam Noord";"       9"
"Overlast door verward persoon";"2023 april";"Gaasperdam Zuid";"       1"
"Overlast door verward persoon";"2023 april";"Reigersbos Midden";"       1"
"Overlast door verward persoon";"2023 april";"Reigersbos Zuid";"       1"
"Overlast door verward persoon";"2023 april";"Gein";"       7"
"Overlast door verward persoon";"2023 april";"Gein Noordwest";"       3"
"Overlast door verward persoon";"2023 april";"Gein Zuidwest";"       0"
"Overlast door verward persoon";"2023 april";"Gein Noordoost";"       0"
"Overlast door verward persoon";"2023 april";"Gein Zuidoost";"       4"
"Overlast door verward persoon";"2023 april";"Driemond";"       4"
"Overlast door verward persoon";"2023 april";"Dorp Driemond";"       4"
"Overlast door verward persoon";"2023 april";"Landelijk gebied Driemond";"       0"
"Melding overlast jeugd";"2023 april";"Amsterdam";"     293"
"Melding overlast jeugd";"2023 april";"Burgwallen-Oude Zijde";"       0"
"Melding overlast jeugd";"2023 april";"Kop Zeedijk";"       0"
"Melding overlast jeugd";"2023 april";"Oude Kerk e.o.";"       0"
"Melding overlast jeugd";"2023 april";"Burgwallen Oost";"       0"
"Melding overlast jeugd";"2023 april";"Nes e.o.";"       0"
"Melding overlast jeugd";"2023 april";"BG-terrein e.o.";"       0"
"Melding overlast jeugd";"2023 april";"Burgwallen-Nieuwe Zijde";"       8"
"Melding overlast jeugd";"2023 april";"Stationsplein e.o.";"       6"
"Melding overlast jeugd";"2023 april";"Hemelrijk";"       0"
"Melding overlast jeugd";"2023 april";"Nieuwendijk Noord";"       1"
"Melding overlast jeugd";"2023 april";"Spuistraat Noord";"       0"
"Melding overlast jeugd";"2023 april";"Nieuwe Kerk e.o.";"       0"
"Melding overlast jeugd";"2023 april";"Spuistraat Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Begijnhofbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Kalverdriehoek";"       1"
"Melding overlast jeugd";"2023 april";"Grachtengordel-West";"       0"
"Melding overlast jeugd";"2023 april";"Langestraat e.o.";"       0"
"Melding overlast jeugd";"2023 april";"Leliegracht e.o.";"       0"
"Melding overlast jeugd";"2023 april";"Felix Meritisbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Leidsegracht Noord";"       0"
"Melding overlast jeugd";"2023 april";"Grachtengordel-Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Spiegelbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Gouden Bocht";"       0"
"Melding overlast jeugd";"2023 april";"Van Loonbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Amstelveldbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Rembrandtpleinbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Reguliersbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Leidsegracht Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Nieuwmarkt/Lastage";"       4"
"Melding overlast jeugd";"2023 april";"Oosterdokseiland";"       2"
"Melding overlast jeugd";"2023 april";"Scheepvaarthuisbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Rapenburg";"       0"
"Melding overlast jeugd";"2023 april";"Lastage";"       1"
"Melding overlast jeugd";"2023 april";"Nieuwmarkt";"       1"
"Melding overlast jeugd";"2023 april";"Uilenburg";"       0"
"Melding overlast jeugd";"2023 april";"Valkenburg";"       0"
"Melding overlast jeugd";"2023 april";"Zuiderkerkbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Waterloopleinbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Haarlemmerbuurt";"       1"
"Melding overlast jeugd";"2023 april";"Westerdokseiland";"       0"
"Melding overlast jeugd";"2023 april";"Haarlemmerbuurt Oost";"       0"
"Melding overlast jeugd";"2023 april";"Haarlemmerbuurt West";"       0"
"Melding overlast jeugd";"2023 april";"Westelijke eilanden";"       1"
"Melding overlast jeugd";"2023 april";"Planciusbuurt Noord";"       0"
"Melding overlast jeugd";"2023 april";"Planciusbuurt Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Jordaan";"       2"
"Melding overlast jeugd";"2023 april";"Driehoekbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Bloemgrachtbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Marnixbuurt Noord";"       0"
"Melding overlast jeugd";"2023 april";"Zaagpoortbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Marnixbuurt Midden";"       0"
"Melding overlast jeugd";"2023 april";"Elandsgrachtbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Passeerdersgrachtbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Groenmarktkadebuurt";"       1"
"Melding overlast jeugd";"2023 april";"Marnixbuurt Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Anjeliersbuurt Noord";"       1"
"Melding overlast jeugd";"2023 april";"Anjeliersbuurt Zuid";"       0"
"Melding overlast jeugd";"2023 april";"De Weteringschans";"       2"
"Melding overlast jeugd";"2023 april";"Leidsebuurt Noordwest";"       0"
"Melding overlast jeugd";"2023 april";"Leidsebuurt Zuidwest";"       0"
"Melding overlast jeugd";"2023 april";"Leidsebuurt Noordoost";"       1"
"Melding overlast jeugd";"2023 april";"Leidsebuurt Zuidoost";"       1"
"Melding overlast jeugd";"2023 april";"Weteringbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Den Texbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Utrechtsebuurt Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Frederikspleinbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Weesperbuurt/Plantage";"       0"
"Melding overlast jeugd";"2023 april";"Weesperbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Sarphatistrook";"       0"
"Melding overlast jeugd";"2023 april";"de Plantage";"       0"
"Melding overlast jeugd";"2023 april";"Alexanderplein e.o.";"       0"
"Melding overlast jeugd";"2023 april";"Oostelijke Eilanden/Kadijken";"       5"
"Melding overlast jeugd";"2023 april";"Marine-Etablissement";"       2"
"Melding overlast jeugd";"2023 april";"Kattenburg";"       0"
"Melding overlast jeugd";"2023 april";"Wittenburg";"       1"
"Melding overlast jeugd";"2023 april";"Oostenburg";"       0"
"Melding overlast jeugd";"2023 april";"Czaar Peterbuurt";"       1"
"Melding overlast jeugd";"2023 april";"Het Funen";"       1"
"Melding overlast jeugd";"2023 april";"Kazernebuurt";"       0"
"Melding overlast jeugd";"2023 april";"Kadijken";"       0"
"Melding overlast jeugd";"2023 april";"Westelijk Havengebied";"       0"
"Melding overlast jeugd";"2023 april";"Coenhaven/Mercuriushaven";"       0"
"Melding overlast jeugd";"2023 april";"Alfa-driehoek";"       0"
"Melding overlast jeugd";"2023 april";"Petroleumhaven";"       0"
"Melding overlast jeugd";"2023 april";"Westhaven Noord";"       0"
"Melding overlast jeugd";"2023 april";"Vervoerscentrum";"       0"
"Melding overlast jeugd";"2023 april";"Amerikahaven";"       0"
"Melding overlast jeugd";"2023 april";"Afrikahaven";"       0"
"Melding overlast jeugd";"2023 april";"Westhaven Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Bedrijventerrein Sloterdijk";"       0"
"Melding overlast jeugd";"2023 april";"Sloterdijk II";"       0"
"Melding overlast jeugd";"2023 april";"Sloterdijk III Oost";"       0"
"Melding overlast jeugd";"2023 april";"Sloterdijk III West";"       0"
"Melding overlast jeugd";"2023 april";"De Heining";"       0"
"Melding overlast jeugd";"2023 april";"Teleport";"       0"
"Melding overlast jeugd";"2023 april";"Bretten Oost";"       0"
"Melding overlast jeugd";"2023 april";"Bretten West";"       0"
"Melding overlast jeugd";"2023 april";"Houthavens";"       1"
"Melding overlast jeugd";"2023 april";"Houthavens West";"       1"
"Melding overlast jeugd";"2023 april";"Houthavens Oost";"       0"
"Melding overlast jeugd";"2023 april";"Spaarndammer- en Zeeheldenbuurt";"       1"
"Melding overlast jeugd";"2023 april";"Zeeheldenbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Spaarndammerbuurt Noordoost";"       0"
"Melding overlast jeugd";"2023 april";"Spaarndammerbuurt Zuidoost";"       0"
"Melding overlast jeugd";"2023 april";"Spaarndammerbuurt Zuidwest";"       0"
"Melding overlast jeugd";"2023 april";"Spaarndammerbuurt Midden";"       0"
"Melding overlast jeugd";"2023 april";"Spaarndammerbuurt Noordwest";"       0"
"Melding overlast jeugd";"2023 april";"Westergasfabriek";"       0"
"Melding overlast jeugd";"2023 april";"Overbraker Binnenpolder";"       1"
"Melding overlast jeugd";"2023 april";"Staatsliedenbuurt";"       2"
"Melding overlast jeugd";"2023 april";"De Wittenbuurt Noord";"       1"
"Melding overlast jeugd";"2023 april";"De Wittenbuurt Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Staatsliedenbuurt Noordoost";"       0"
"Melding overlast jeugd";"2023 april";"Fannius Scholtenbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Westerstaatsman";"       0"
"Melding overlast jeugd";"2023 april";"Buyskade e.o.";"       1"
"Melding overlast jeugd";"2023 april";"Centrale Markt";"       0"
"Melding overlast jeugd";"2023 april";"Ecowijk";"       0"
"Melding overlast jeugd";"2023 april";"Markthallen";"       0"
"Melding overlast jeugd";"2023 april";"Bedrijvencentrum Westerkwartier";"       0"
"Melding overlast jeugd";"2023 april";"Marcanti";"       0"
"Melding overlast jeugd";"2023 april";"Frederik Hendrikbuurt";"       1"
"Melding overlast jeugd";"2023 april";"Frederik Hendrikbuurt Noord";"       1"
"Melding overlast jeugd";"2023 april";"Frederik Hendrikbuurt Zuidoost";"       0"
"Melding overlast jeugd";"2023 april";"Frederik Hendrikbuurt Zuidwest";"       0"
"Melding overlast jeugd";"2023 april";"Da Costabuurt";"       2"
"Melding overlast jeugd";"2023 april";"Da Costabuurt Noord";"       2"
"Melding overlast jeugd";"2023 april";"Kinkerbuurt";"       1"
"Melding overlast jeugd";"2023 april";"Bellamybuurt Noord";"       0"
"Melding overlast jeugd";"2023 april";"Bellamybuurt Zuid";"       1"
"Melding overlast jeugd";"2023 april";"Van Lennepbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Da Costabuurt Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Borgerbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Lootsbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Helmersbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Helmersbuurt Oost";"       0"
"Melding overlast jeugd";"2023 april";"WG-terrein";"       0"
"Melding overlast jeugd";"2023 april";"Cremerbuurt Oost";"       0"
"Melding overlast jeugd";"2023 april";"Overtoomse Sluis";"       0"
"Melding overlast jeugd";"2023 april";"Cremerbuurt West";"       0"
"Melding overlast jeugd";"2023 april";"Vondelparkbuurt West";"       0"
"Melding overlast jeugd";"2023 april";"Vondelbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Vondelparkbuurt Oost";"       0"
"Melding overlast jeugd";"2023 april";"Vondelparkbuurt Midden";"       0"
"Melding overlast jeugd";"2023 april";"Zuidas";"       0"
"Melding overlast jeugd";"2023 april";"Zuidas Noord";"       0"
"Melding overlast jeugd";"2023 april";"RAI";"       0"
"Melding overlast jeugd";"2023 april";"VU-kwartier";"       0"
"Melding overlast jeugd";"2023 april";"Zuidas Zuid";"       0"
"Melding overlast jeugd";"2023 april";"Vivaldi";"       0"
"Melding overlast jeugd";"2023 april";"Oude Pijp";"       2"
"Melding overlast jeugd";"2023 april";"Hemonybuurt";"       0"
"Melding overlast jeugd";"2023 april";"Gerard Doubuurt";"       1"
"Melding overlast jeugd";"2023 april";"Frans Halsbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Hercules Seghersbuurt";"       0"
"Melding overlast jeugd";"2023 april";"Sarphatiparkbuurt";"       1"
"Melding overlast jeugd";"2023 april";"Nieuwe Pijp";"       1"
"Melding overlast jeugd";"2023 april";"Willibrordusbuurt";"       0"
