"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Verspreide huizen Eexterveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800609";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"Wijk 07 Spijkerboor";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168007  ";"       1";"       0";"       0";"       0";"      30";"       0";"       2";"       2";"      25";"     130";"     100";"      40"
"Spijkerboor";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800700";"       1";"       0";"       0";"       0";"      30";"       0";"       2";"       2";"      25";"     130";"     100";"      40"
"Verspreide huizen Spijkerboor";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800709";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Wijk 08 Nieuw-Annerveen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168008  ";"       1";"       0";"       0";"      10";"      20";"       4";"       0";"       7";"      16";"      90";"      80";"      20"
"Nieuw-Annerveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800800";"       1";"       0";"       0";"      10";"      20";"       5";"       0";"       7";"      17";"      90";"      70";"      20"
"Verspreide huizen Nieuw-Annerveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800809";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"Wijk 09 Oud-Annerveen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";"       1";"       0";"       0";"      10";"      30";"       2";"       0";"       7";"      24";"     110";"      80";"      30"
"Oud-Annerveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800900";"       1";"       0";"       0";"      10";"      30";"       2";"       0";"       7";"      25";"     100";"      80";"      30"
"Verspreide huizen Oud-Annerveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16800909";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"Wijk 11 Annerveenschekanaal";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168011  ";"       1";"      10";"       0";"      20";"      60";"       2";"       0";"       6";"      16";"     350";"     290";"      60"
"Annerveenschekanaal";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801100";"       1";"      10";"       0";"      20";"      60";"       2";"       0";"       6";"      16";"     340";"     290";"      60"
"Verspreide huizen Annerveenschekanaal";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801109";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Wijk 12 Eexterveenschekanaal";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168012  ";"       1";"      10";"       0";"      20";"      50";"       3";"       1";"       8";"      23";"     210";"     160";"      50"
"Eexterveenschekanaal";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801200";"       1";"      10";"       0";"      20";"      50";"       3";"       1";"       8";"      24";"     200";"     150";"      50"
"Verspreide huizen Eexterveenschekanaal";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801209";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      10";"      10";"       0"
"Wijk 13 Eexterzandvoort";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168013  ";"       1";"       0";"       0";"       0";"      30";"       2";"       0";"       3";"      24";"     130";"     100";"      30"
"Eexterzandvoort";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801300";"       1";"       0";"       0";"       0";"      20";"       2";"       0";"       2";"      25";"     100";"      70";"      20"
"Verspreide huizen Eexterzandvoort";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801309";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      30";"      30";"      10"
"Wijk 14 Gasselte";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168014  ";"       1";"      20";"      20";"      60";"     570";"       1";"       1";"       4";"      35";"    1610";"    1040";"     570"
"Gasselte";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801400";"       1";"      10";"      20";"      40";"     470";"       1";"       1";"       3";"      36";"    1320";"     850";"     470"
"Kostvlies";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801401";"       1";"       0";"       0";"       0";"      50";"       1";"       0";"       2";"      40";"     120";"      70";"      50"
"Verspreide huizen Gasselte";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801409";"       1";"       0";"       0";"      20";"      60";"       2";"       1";"      12";"      31";"     180";"     130";"      60"
"Wijk 15 Gasselternijveen";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168015  ";"       1";"      20";"      70";"     100";"     360";"       1";"       4";"       6";"      23";"    1580";"    1230";"     360"
"Gasselternijveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801500";"       1";"      10";"      70";"     100";"     350";"       1";"       4";"       6";"      23";"    1540";"    1190";"     350"
"Gasselterboerveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801501";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      40";"      30";"      10"
"Verspreide huizen Gasselternijveen";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801509";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"Wijk 16 Gasselternijveenschemond";"2021 december*";"Aa en Hunze                             ";"Wijk    ";"WK168016  ";"       1";"      10";"      20";"      50";"     140";"       1";"       3";"       9";"      23";"     580";"     450";"     140"
"Gasselternijveenschemond";"2021 december*";"Aa en Hunze                             ";"Buurt   ";"BU16801600";"       1";"       0";"      10";"      50";"     130";"       1";"       3";"       9";"      23";"     540";"     410";"     130"
