"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2013 december";"Appingedam-West";"Appingedam                              ";"Buurt   ";"BU00030001";"       1";"      90";"      60";"     120";"     550";"       4";"       2";"       5";"      21";"    2620";"    2070";"     550"
"2013 maart";"Appingedam-Oost";"Appingedam                              ";"Buurt   ";"BU00030002";"       1";"     170";"     270";"     350";"    1340";"       3";"       5";"       7";"      27";"    5030";"    3690";"    1340"
"2013 juni";"Appingedam-Oost";"Appingedam                              ";"Buurt   ";"BU00030002";"       1";"     140";"     280";"     350";"    1360";"       3";"       6";"       7";"      27";"    5030";"    3670";"    1360"
"2013 september";"Appingedam-Oost";"Appingedam                              ";"Buurt   ";"BU00030002";"       1";"     150";"     270";"     350";"    1360";"       3";"       6";"       7";"      27";"    5020";"    3660";"    1360"
"2013 december";"Appingedam-Oost";"Appingedam                              ";"Buurt   ";"BU00030002";"       1";"     180";"     290";"     350";"    1350";"       4";"       6";"       7";"      27";"    5030";"    3670";"    1360"
"2013 maart";"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030007";"       1";"      10";"       0";"      20";"      30";"       2";"       0";"       9";"      12";"     280";"     250";"      30"
"2013 juni";"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030007";"       1";"      10";"       0";"      20";"      30";"       3";"       0";"       9";"      11";"     280";"     240";"      30"
"2013 september";"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030007";"       1";"      10";"       0";"      20";"      30";"       3";"       0";"       8";"      12";"     280";"     240";"      30"
"2013 december";"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030007";"       1";"      10";"       0";"      20";"      30";"       4";"       0";"       9";"      11";"     280";"     250";"      30"
"2013 maart";"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030008";"       1";"       0";"       0";"       0";"      10";"       4";"       2";"       5";"      16";"      90";"      70";"      10"
"2013 juni";"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030008";"       1";"       0";"       0";"       0";"      10";"       1";"       2";"       5";"      17";"      90";"      70";"      10"
"2013 september";"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030008";"       1";"       0";"       0";"       0";"      10";"       2";"       2";"       5";"      16";"      90";"      70";"      10"
"2013 december";"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030008";"       1";"       0";"       0";"       0";"      10";"       5";"       2";"       5";"      17";"      80";"      70";"      10"
"2013 maart";"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt   ";"BU00030009";"       1";"       0";"       0";"       0";"      30";"       1";"       3";"       3";"      22";"     120";"      90";"      30"
"2013 juni";"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt   ";"BU00030009";"       1";"       0";"       0";"       0";"      30";"       1";"       3";"       3";"      22";"     120";"      90";"      30"
"2013 september";"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt   ";"BU00030009";"       1";"       0";"       0";"       0";"      30";"       2";"       3";"       2";"      23";"     120";"     100";"      30"
"2013 december";"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt   ";"BU00030009";"       1";"       0";"       0";"       0";"      30";"       2";"       3";"       2";"      24";"     120";"      90";"      30"
"2013 maart";"Almere";"Almere                                  ";"Gemeente";"GM0034    ";"       .";"    5440";"    5690";"    9360";"   16830";"       4";"       4";"       6";"      11";"  155300";"  138360";"   16950"
"2013 juni";"Almere";"Almere                                  ";"Gemeente";"GM0034    ";"       .";"    5670";"    5750";"    9360";"   17070";"       4";"       4";"       6";"      11";"  155640";"  138450";"   17180"
"2013 september";"Almere";"Almere                                  ";"Gemeente";"GM0034    ";"       .";"    5910";"    5680";"    9390";"   17330";"       4";"       4";"       6";"      11";"  155940";"  138500";"   17450"
"2013 december";"Almere";"Almere                                  ";"Gemeente";"GM0034    ";"       .";"    6300";"    5890";"    9400";"   17640";"       4";"       4";"       6";"      11";"  156180";"  138490";"   17690"
"2013 maart";"Wijk 01 Almere-Haven";"Almere                                  ";"Wijk    ";"WK003401  ";"       3";"     650";"     890";"    1410";"    3300";"       4";"       5";"       8";"      18";"   18210";"   14900";"    3310"
"2013 juni";"Wijk 01 Almere-Haven";"Almere                                  ";"Wijk    ";"WK003401  ";"       3";"     660";"     900";"    1410";"    3350";"       4";"       5";"       8";"      18";"   18220";"   14860";"    3360"
"2013 september";"Wijk 01 Almere-Haven";"Almere                                  ";"Wijk    ";"WK003401  ";"       3";"     660";"     910";"    1400";"    3400";"       4";"       5";"       8";"      19";"   18270";"   14860";"    3410"
"2013 december";"Wijk 01 Almere-Haven";"Almere                                  ";"Wijk    ";"WK003401  ";"       3";"     700";"     930";"    1410";"    3430";"       4";"       5";"       8";"      19";"   18300";"   14870";"    3430"
"2013 maart";"Centrum Almere-Haven";"Almere                                  ";"Buurt   ";"BU00340101";"       1";"      40";"     110";"     100";"     470";"       3";"       8";"       8";"      35";"    1330";"     860";"     470"
"2013 juni";"Centrum Almere-Haven";"Almere                                  ";"Buurt   ";"BU00340101";"       1";"      40";"     110";"     100";"     460";"       3";"       8";"       8";"      34";"    1350";"     890";"     460"
"2013 september";"Centrum Almere-Haven";"Almere                                  ";"Buurt   ";"BU00340101";"       1";"      40";"     110";"     110";"     460";"       3";"       8";"       8";"      33";"    1380";"     920";"     460"
"2013 december";"Centrum Almere-Haven";"Almere                                  ";"Buurt   ";"BU00340101";"       1";"      40";"     110";"     120";"     460";"       3";"       8";"       8";"      33";"    1390";"     930";"     460"
"2013 maart";"De Werven";"Almere                                  ";"Buurt   ";"BU00340102";"       1";"      80";"     160";"     210";"     390";"       4";"       7";"      10";"      18";"    2190";"    1790";"     400"
"2013 juni";"De Werven";"Almere                                  ";"Buurt   ";"BU00340102";"       1";"      80";"     160";"     210";"     400";"       4";"       7";"      10";"      18";"    2200";"    1800";"     400"
"2013 september";"De Werven";"Almere                                  ";"Buurt   ";"BU00340102";"       1";"      90";"     160";"     210";"     400";"       4";"       7";"      10";"      18";"    2180";"    1780";"     400"
"2013 december";"De Werven";"Almere                                  ";"Buurt   ";"BU00340102";"       1";"      90";"     160";"     220";"     400";"       4";"       7";"      10";"      18";"    2180";"    1780";"     400"
"2013 maart";"De Hoven";"Almere                                  ";"Buurt   ";"BU00340103";"       1";"      60";"     150";"     160";"     330";"       3";"       8";"       9";"      17";"    1920";"    1600";"     330"
"2013 juni";"De Hoven";"Almere                                  ";"Buurt   ";"BU00340103";"       1";"      60";"     160";"     170";"     340";"       3";"       8";"       9";"      17";"    1940";"    1600";"     340"
"2013 september";"De Hoven";"Almere                                  ";"Buurt   ";"BU00340103";"       1";"      70";"     160";"     160";"     340";"       4";"       8";"       8";"      17";"    1960";"    1620";"     340"
"2013 december";"De Hoven";"Almere                                  ";"Buurt   ";"BU00340103";"       1";"      70";"     160";"     160";"     340";"       4";"       8";"       8";"      17";"    1970";"    1630";"     340"
"2013 maart";"De Meenten";"Almere                                  ";"Buurt   ";"BU00340104";"       1";"      70";"      60";"     120";"     290";"       4";"       3";"       7";"      16";"    1870";"    1570";"     290"
"2013 juni";"De Meenten";"Almere                                  ";"Buurt   ";"BU00340104";"       1";"      70";"      60";"     130";"     300";"       4";"       3";"       7";"      16";"    1870";"    1570";"     300"
"2013 september";"De Meenten";"Almere                                  ";"Buurt   ";"BU00340104";"       1";"      70";"      60";"     130";"     300";"       4";"       3";"       7";"      16";"    1860";"    1560";"     300"
"2013 december";"De Meenten";"Almere                                  ";"Buurt   ";"BU00340104";"       1";"      70";"      60";"     120";"     310";"       4";"       3";"       7";"      17";"    1860";"    1550";"     310"
"2013 maart";"De Grienden";"Almere                                  ";"Buurt   ";"BU00340105";"       1";"      60";"      60";"     140";"     360";"       3";"       3";"       7";"      19";"    1900";"    1540";"     360"
"2013 juni";"De Grienden";"Almere                                  ";"Buurt   ";"BU00340105";"       1";"      80";"      70";"     140";"     350";"       4";"       3";"       7";"      19";"    1890";"    1540";"     350"
"2013 september";"De Grienden";"Almere                                  ";"Buurt   ";"BU00340105";"       1";"      70";"      60";"     130";"     360";"       4";"       3";"       7";"      19";"    1900";"    1530";"     360"
"2013 december";"De Grienden";"Almere                                  ";"Buurt   ";"BU00340105";"       1";"      80";"      60";"     130";"     370";"       4";"       3";"       7";"      20";"    1900";"    1530";"     370"
"2013 maart";"De Marken";"Almere                                  ";"Buurt   ";"BU00340106";"       1";"     100";"      80";"     170";"     440";"       5";"       3";"       7";"      19";"    2320";"    1870";"     440"
"2013 juni";"De Marken";"Almere                                  ";"Buurt   ";"BU00340106";"       1";"     110";"      90";"     160";"     450";"       5";"       4";"       7";"      20";"    2310";"    1860";"     450"
"2013 september";"De Marken";"Almere                                  ";"Buurt   ";"BU00340106";"       1";"     110";"      90";"     160";"     460";"       5";"       4";"       7";"      20";"    2320";"    1860";"     460"
"2013 december";"De Marken";"Almere                                  ";"Buurt   ";"BU00340106";"       1";"     110";"     100";"     160";"     470";"       5";"       4";"       7";"      20";"    2310";"    1840";"     470"
"2013 maart";"De Gouwen";"Almere                                  ";"Buurt   ";"BU00340107";"       1";"      90";"      30";"     180";"     340";"       4";"       1";"       8";"      15";"    2280";"    1940";"     340"
"2013 juni";"De Gouwen";"Almere                                  ";"Buurt   ";"BU00340107";"       1";"      90";"      30";"     180";"     350";"       4";"       1";"       8";"      16";"    2260";"    1910";"     350"
"2013 september";"De Gouwen";"Almere                                  ";"Buurt   ";"BU00340107";"       1";"      80";"      30";"     180";"     360";"       4";"       1";"       8";"      16";"    2260";"    1900";"     360"
"2013 december";"De Gouwen";"Almere                                  ";"Buurt   ";"BU00340107";"       1";"      80";"      40";"     170";"     370";"       4";"       2";"       8";"      16";"    2270";"    1900";"     370"
"2013 maart";"De Wierden";"Almere                                  ";"Buurt   ";"BU00340108";"       3";"     100";"     230";"     260";"     510";"       4";"       9";"      10";"      19";"    2700";"    2190";"     510"
"2013 juni";"De Wierden";"Almere                                  ";"Buurt   ";"BU00340108";"       3";"     100";"     230";"     260";"     520";"       4";"       9";"      10";"      19";"    2680";"    2160";"     520"
"2013 september";"De Wierden";"Almere                                  ";"Buurt   ";"BU00340108";"       3";"     100";"     240";"     260";"     520";"       4";"       9";"      10";"      20";"    2680";"    2160";"     530"
"2013 december";"De Wierden";"Almere                                  ";"Buurt   ";"BU00340108";"       3";"     110";"     240";"     270";"     520";"       4";"       9";"      10";"      19";"    2710";"    2180";"     520"
"2013 maart";"De Velden";"Almere                                  ";"Buurt   ";"BU00340109";"       3";"      30";"       0";"      50";"     140";"       2";"       0";"       4";"      11";"    1320";"    1170";"     140"
"2013 juni";"De Velden";"Almere                                  ";"Buurt   ";"BU00340109";"       3";"      30";"       0";"      50";"     150";"       3";"       0";"       4";"      11";"    1320";"    1170";"     150"
"2013 september";"De Velden";"Almere                                  ";"Buurt   ";"BU00340109";"       3";"      30";"       0";"      50";"     160";"       3";"       0";"       4";"      12";"    1320";"    1160";"     160"
"2013 december";"De Velden";"Almere                                  ";"Buurt   ";"BU00340109";"       3";"      40";"       0";"      50";"     160";"       3";"       0";"       4";"      12";"    1320";"    1160";"     160"
"2013 maart";"Overgooi";"Almere                                  ";"Buurt   ";"BU00340110";"       1";"      10";"       0";"      10";"      30";"       3";"       0";"       3";"       9";"     370";"     340";"      30"
"2013 juni";"Overgooi";"Almere                                  ";"Buurt   ";"BU00340110";"       1";"      10";"       0";"      10";"      40";"       3";"       0";"       3";"      10";"     370";"     330";"      40"
"2013 september";"Overgooi";"Almere                                  ";"Buurt   ";"BU00340110";"       1";"      10";"       0";"      10";"      40";"       2";"       0";"       3";"      10";"     370";"     330";"      40"
"2013 december";"Overgooi";"Almere                                  ";"Buurt   ";"BU00340110";"       1";"      10";"       0";"      10";"      40";"       3";"       0";"       3";"      10";"     370";"     330";"      40"
"2013 maart";"De Steiger";"Almere                                  ";"Buurt   ";"BU00340171";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      30";"      30";"       0"
"2013 juni";"De Steiger";"Almere                                  ";"Buurt   ";"BU00340171";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      30";"      30";"       0"
"2013 september";"De Steiger";"Almere                                  ";"Buurt   ";"BU00340171";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      30";"      30";"       0"
"2013 december";"De Steiger";"Almere                                  ";"Buurt   ";"BU00340171";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      30";"      30";"       0"
"2013 maart";"Stichtsekant";"Almere                                  ";"Buurt   ";"BU00340173";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"2013 juni";"Stichtsekant";"Almere                                  ";"Buurt   ";"BU00340173";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"2013 september";"Stichtsekant";"Almere                                  ";"Buurt   ";"BU00340173";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"2013 december";"Stichtsekant";"Almere                                  ";"Buurt   ";"BU00340173";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"2013 maart";"Verspreide Huizen Almere-Haven";"Almere                                  ";"Buurt   ";"BU00340199";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"2013 juni";"Verspreide Huizen Almere-Haven";"Almere                                  ";"Buurt   ";"BU00340199";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"2013 september";"Verspreide Huizen Almere-Haven";"Almere                                  ";"Buurt   ";"BU00340199";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
"2013 december";"Verspreide Huizen Almere-Haven";"Almere                                  ";"Buurt   ";"BU00340199";"       3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       0";"       0"
