"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2015 maart";"Totaal";"                                        ";"        ";"NL00      ";"";"  389040";"  441870";"  772160";" 3300310";"";"";"";"";"";"";""
"2015 juni";"Totaal";"                                        ";"        ";"NL00      ";"";"  376810";"  442370";"  764850";" 3323890";"";"";"";"";"";"";""
"2015 september";"Totaal";"                                        ";"        ";"NL00      ";"";"  362980";"  439990";"  761140";" 3349280";"";"";"";"";"";"";""
"2015 december";"Totaal";"                                        ";"        ";"NL00      ";"";"  393020";"  448660";"  757890";" 3371730";"";"";"";"";"";"";""
"2015 maart";"Nederland";"                                        ";"        ";"NL01      ";"";"  384160";"  441390";"  748890";" 2964280";"       3";"       3";"       5";"      21";"14091870";"11119760";" 2972110"
"2015 juni";"Nederland";"                                        ";"        ";"NL01      ";"";"  371410";"  441930";"  741640";" 2986680";"       3";"       3";"       5";"      21";"14110060";"11115290";" 2994780"
"2015 september";"Nederland";"                                        ";"        ";"NL01      ";"";"  358210";"  439500";"  738040";" 3009030";"       3";"       3";"       5";"      21";"14150290";"11132980";" 3017320"
"2015 december";"Nederland";"                                        ";"        ";"NL01      ";"";"  386200";"  448200";"  734830";" 3028890";"       3";"       3";"       5";"      21";"14175430";"11138180";" 3037240"
"2015 maart";"Buitenland";"                                        ";"        ";"NL98      ";"";"    4890";"     490";"   23270";"  336020";"";"";"";"";"";"";""
"2015 juni";"Buitenland";"                                        ";"        ";"NL98      ";"";"    5400";"     450";"   23210";"  337210";"";"";"";"";"";"";""
"2015 september";"Buitenland";"                                        ";"        ";"NL98      ";"";"    4770";"     490";"   23100";"  340250";"";"";"";"";"";"";""
"2015 december";"Buitenland";"                                        ";"        ";"NL98      ";"";"    6820";"     460";"   23060";"  342840";"";"";"";"";"";"";""
"2015 maart";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     350";"     470";"     710";"    2710";"       3";"       5";"       7";"      27";"   10120";"    7410";"    2710"
