"Wijken en buurten";"Perioden";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"Breda";"2022 september*";"Breda                                   ";"Gemeente";"GM0758    ";"       1";"    1710";"    4360";"    6420";"   32320";"       1";"       3";"       4";"      20";"  158360";"  125920";"   32440"
"Breda centrum";"2022 september*";"Breda                                   ";"Wijk    ";"WK075800  ";"       1";"     170";"     480";"     620";"    2040";"       1";"       3";"       4";"      14";"   14820";"   12760";"    2060"
"Valkenberg";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580001";"       1";"      30";"      50";"      70";"     330";"       1";"       2";"       3";"      15";"    2240";"    1900";"     340"
"Chassé";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580002";"       1";"      30";"      50";"     100";"     700";"       1";"       2";"       3";"      23";"    3100";"    2390";"     710"
"Fellenoord";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580003";"       1";"      10";"     110";"     110";"     150";"       1";"       8";"       8";"      11";"    1420";"    1270";"     150"
"Schorsmolen";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580004";"       1";"      50";"     170";"     200";"     480";"       2";"       5";"       6";"      14";"    3370";"    2890";"     480"
"Station";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580005";"       1";"      20";"      70";"      90";"     130";"       1";"       3";"       4";"       6";"    2140";"    2010";"     130"
"City";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580006";"       1";"      30";"      30";"      60";"     250";"       1";"       1";"       2";"      10";"    2550";"    2300";"     250"
"Breda noord";"2022 september*";"Breda                                   ";"Wijk    ";"WK075801  ";"       1";"     250";"    1190";"    1180";"    3710";"       1";"       6";"       6";"      17";"   21620";"   17890";"    3730"
"Belcrum";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580100";"       1";"      30";"      50";"     100";"     430";"       1";"       1";"       3";"      13";"    3460";"    3030";"     430"
"Doornbos-Linie";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580101";"       1";"      50";"     210";"     220";"     530";"       1";"       5";"       6";"      14";"    3920";"    3390";"     530"
"Biesdonk";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580102";"       1";"      50";"     250";"     240";"     870";"       1";"       6";"       6";"      21";"    4170";"    3300";"     870"
"Geeren-zuid";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580103";"       1";"      30";"     260";"     210";"     620";"       1";"       8";"       7";"      20";"    3130";"    2500";"     630"
"Wisselaar";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580104";"       1";"      40";"     220";"     210";"     700";"       1";"       6";"       6";"      20";"    3520";"    2820";"     700"
"Krogten";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580105";"       1";"       0";"       0";"      10";"      30";"       2";"       2";"       3";"      19";"     170";"     140";"      30"
"Geeren-noord";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580106";"       1";"      40";"     200";"     150";"     470";"       2";"       9";"       7";"      20";"    2300";"    1840";"     470"
"Waterdonken";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580107";"       1";"      10";"      10";"      30";"      70";"       1";"       1";"       4";"       7";"     940";"     870";"      70"
"Breda oost";"2022 september*";"Breda                                   ";"Wijk    ";"WK075802  ";"       1";"     240";"     570";"     730";"    4160";"       1";"       3";"       4";"      20";"   20790";"   16610";"    4170"
"Brabantpark";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580200";"       1";"     110";"     370";"     380";"    1580";"       1";"       4";"       4";"      17";"    9180";"    7590";"    1590"
"Sportpark";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580201";"       1";"      30";"      10";"      40";"     760";"       1";"       0";"       1";"      26";"    2890";"    2130";"     760"
"Zandberg";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580202";"       1";"      60";"      30";"      80";"     620";"       1";"       1";"       2";"      15";"    4230";"    3600";"     620"
"Heusdenhout";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580203";"       1";"      50";"     160";"     230";"    1170";"       1";"       4";"       5";"      27";"    4400";"    3220";"    1180"
"Moleneind-oost";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580204";"       1";"       0";"       0";"       0";"      20";"       0";"       0";"       2";"      29";"      50";"      40";"      20"
"Hoogeind";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580205";"       1";"       0";"       0";"       0";"      10";"       0";"       4";"       2";"      29";"      50";"      30";"      10"
"Breda zuid-oost";"2022 september*";"Breda                                   ";"Wijk    ";"WK075803  ";"       1";"     170";"     170";"     510";"    4640";"       1";"       1";"       3";"      29";"   16310";"   11650";"    4650"
"Blauwe Kei";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580300";"       1";"      30";"      30";"     100";"     660";"       1";"       1";"       3";"      21";"    3180";"    2510";"     660"
"Ypelaar";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580301";"       1";"      70";"     110";"     170";"    1790";"       1";"       2";"       3";"      35";"    5180";"    3380";"    1790"
"Overakker";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580302";"       1";"      20";"      20";"      60";"    1010";"       1";"       1";"       2";"      36";"    2780";"    1770";"    1010"
"Ginneken";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580303";"       1";"      40";"      10";"     100";"    1060";"       1";"       0";"       2";"      24";"    4500";"    3440";"    1060"
"Mastbos";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580309";"       1";"      10";"       0";"      90";"     130";"       1";"       0";"      13";"      19";"     670";"     540";"     130"
"Breda zuid";"2022 september*";"Breda                                   ";"Wijk    ";"WK075804  ";"       1";"      70";"      60";"     170";"    2050";"       1";"       1";"       2";"      29";"    7100";"    5050";"    2050"
"Boeimeer";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580400";"       1";"      50";"      60";"     140";"    1190";"       1";"       1";"       3";"      24";"    4890";"    3690";"    1190"
"Ruitersbos";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580401";"       1";"      20";"       0";"      20";"     850";"       1";"       0";"       1";"      39";"    2210";"    1360";"     860"
"Breda west";"2022 september*";"Breda                                   ";"Wijk    ";"WK075805  ";"       1";"     290";"    1050";"    1400";"    4840";"       1";"       4";"       5";"      17";"   27860";"   23000";"    4860"
"Haagpoort";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580500";"       1";"      10";"     120";"     130";"     240";"       1";"       7";"       7";"      13";"    1850";"    1610";"     240"
"Heuvel";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580501";"       1";"      80";"     390";"     440";"    1000";"       1";"       6";"       7";"      15";"    6510";"    5500";"    1010"
"Tuinzigt";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580502";"       1";"      90";"     360";"     350";"     770";"       1";"       5";"       5";"      11";"    6870";"    6100";"     770"
"Princenhage";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580503";"       1";"      60";"     140";"     310";"    1820";"       1";"       2";"       4";"      25";"    7330";"    5510";"    1820"
"Westerpark";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580504";"       1";"      30";"      40";"     100";"     510";"       1";"       1";"       4";"      18";"    2860";"    2350";"     510"
"Heilaar";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580505";"       1";"       0";"       0";"      10";"      70";"       1";"       0";"       1";"      14";"     530";"     450";"      70"
"Hazeldonk";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580506";"       1";"       0";"       0";"       0";"      10";"       0";"       0";"       2";"      19";"      50";"      40";"      10"
"Steenakker";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580507";"       1";"       0";"       0";"       0";"      50";"       0";"       0";"       0";"      11";"     460";"     410";"      50"
"Effen-Rith";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580508";"       1";"      10";"       0";"      40";"     180";"       1";"       0";"       6";"      24";"     760";"     580";"     180"
"Liesbos";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580509";"       1";"      10";"       0";"      10";"     190";"       1";"       0";"       2";"      30";"     650";"     450";"     190"
"Breda noord-west";"2022 september*";"Breda                                   ";"Wijk    ";"WK075806  ";"       1";"     280";"     560";"     980";"    3530";"       1";"       3";"       5";"      17";"   21170";"   17630";"    3540"
"Gageldonk";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580600";"       1";"      50";"     110";"     210";"     670";"       1";"       3";"       6";"      17";"    3820";"    3150";"     670"
"Kievitsloop";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580601";"       1";"      50";"      70";"     150";"     520";"       1";"       2";"       4";"      15";"    3420";"    2910";"     520"
"Kesteren";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580602";"       1";"      50";"     140";"     150";"     380";"       2";"       5";"       5";"      12";"    3100";"    2710";"     390"
"Muizenberg";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580603";"       1";"      30";"     110";"     120";"     450";"       1";"       4";"       5";"      19";"    2410";"    1960";"     450"
"Heksenwiel";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580604";"       1";"      40";"      60";"     160";"     840";"       1";"       2";"       4";"      23";"    3740";"    2900";"     840"
"Overkroeten";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580605";"       1";"      40";"      60";"     110";"     410";"       2";"       2";"       4";"      16";"    2570";"    2150";"     420"
"Kroeten";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580606";"       1";"      20";"      10";"      70";"     200";"       1";"       0";"       4";"      11";"    1870";"    1660";"     200"
"Emer";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580607";"       1";"       0";"       0";"       0";"      10";"       0";"       2";"       2";"      18";"      60";"      50";"      10"
"Hagebeemd";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580609";"       1";"       0";"       0";"      20";"      40";"       1";"       0";"       9";"      22";"     180";"     140";"      40"
"Bavel";"2022 september*";"Breda                                   ";"Wijk    ";"WK075807  ";"       1";"      70";"      80";"     220";"    1670";"       1";"       1";"       3";"      24";"    7060";"    5390";"    1670"
"Bavel";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580700";"       1";"      50";"      60";"     160";"    1180";"       1";"       1";"       3";"      26";"    4610";"    3440";"    1180"
"Nieuw Wolfslaar";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580701";"       1";"      20";"       0";"      50";"     410";"       1";"       0";"       3";"      21";"    1940";"    1530";"     410"
"Buitengebied Bavel";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580709";"       1";"       0";"      20";"      10";"      90";"       1";"       3";"       2";"      17";"     510";"     420";"      90"
"Ulvenhout";"2022 september*";"Breda                                   ";"Wijk    ";"WK075808  ";"       1";"      40";"      30";"     120";"    1260";"       1";"       1";"       3";"      30";"    4130";"    2880";"    1260"
"Ulvenhout";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580800";"       1";"      40";"      30";"     100";"    1200";"       1";"       1";"       3";"      31";"    3880";"    2680";"    1200"
"Buitengebied Ulvenhout";"2022 september*";"Breda                                   ";"Buurt   ";"BU07580809";"       1";"       0";"       0";"      20";"      60";"       1";"       0";"       8";"      23";"     250";"     190";"      60"
